method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
contiguous_access,1,0,3.26981535181403160095e-07,,,
contiguous_access,1,1,1.10012479126453399658e-07,,,
contiguous_access,1,2,6.19911588728427886963e-08,,,
contiguous_access,1,3,6.20202627032995223999e-08,,,
contiguous_access,1,4,6.10016286373138427734e-08,,,
contiguous_access,1,5,6.09725248068571090698e-08,,,
contiguous_access,1,6,6.10016286373138427734e-08,,,
contiguous_access,1,7,6.00120984017848968506e-08,,,
contiguous_access,1,8,6.10016286373138427734e-08,,,
contiguous_access,1,9,6.10016286373138427734e-08,,,
contiguous_access,201,0,0.00026719100424088537693,,,
contiguous_access,201,1,0.000263872992945834994316,,,
contiguous_access,201,2,0.000262732995906844735146,,,
contiguous_access,201,3,0.000264255999354645609856,,,
contiguous_access,201,4,0.00026408999110572040081,,,
contiguous_access,201,5,0.000268143980065360665321,,,
contiguous_access,201,6,0.000264168978901579976082,,,
contiguous_access,201,7,0.000262974994257092475891,,,
contiguous_access,201,8,0.000260739994700998067856,,,
contiguous_access,201,9,0.000260077998973429203033,,,
contiguous_access,401,0,0.00215822699829004704952,,,
contiguous_access,401,1,0.00224397899000905454159,,,
contiguous_access,401,2,0.00200422899797558784485,,,
contiguous_access,401,3,0.00224434101255610585213,,,
contiguous_access,401,4,0.00198372799786739051342,,,
contiguous_access,401,5,0.00224867599899880588055,,,
contiguous_access,401,6,0.00198115600505843758583,,,
contiguous_access,401,7,0.00200635899091139435768,,,
contiguous_access,401,8,0.00198458301019854843616,,,
contiguous_access,401,9,0.00198133199592120945454,,,
contiguous_access,601,0,0.00777764999656938016415,,,
contiguous_access,601,1,0.0078033540048636496067,,,
contiguous_access,601,2,0.00795042200479656457901,,,
contiguous_access,601,3,0.00787669399869628250599,,,
contiguous_access,601,4,0.00787403099820949137211,,,
contiguous_access,601,5,0.00785988199640996754169,,,
contiguous_access,601,6,0.00793980399612337350845,,,
contiguous_access,601,7,0.00790110198431648313999,,,
contiguous_access,601,8,0.00780374900205060839653,,,
contiguous_access,601,9,0.00775090698152780532837,,,
contiguous_access,801,0,0.0242526729998644441366,,,
contiguous_access,801,1,0.0243081140215508639812,,,
contiguous_access,801,2,0.0242619240016210824251,,,
contiguous_access,801,3,0.0243140200036577880383,,,
contiguous_access,801,4,0.0243034760060254484415,,,
contiguous_access,801,5,0.0242825940076727420092,,,
contiguous_access,801,6,0.0242965189972892403603,,,
contiguous_access,801,7,0.0242885890183970332146,,,
contiguous_access,801,8,0.0243336920102592557669,,,
contiguous_access,801,9,0.0242864910105708986521,,,
contiguous_access,1001,0,0.0516616930253803730011,,,
contiguous_access,1001,1,0.0517114969843532890081,,,
contiguous_access,1001,2,0.0516450919967610388994,,,
contiguous_access,1001,3,0.0517431919870432466269,,,
contiguous_access,1001,4,0.0517147929931525141001,,,
contiguous_access,1001,5,0.0517144289915449917316,,,
contiguous_access,1001,6,0.0517072579823434352875,,,
contiguous_access,1001,7,0.0516659670101944357157,,,
contiguous_access,1001,8,0.0516497689823154360056,,,
contiguous_access,1001,9,0.0517725269892252981663,,,
contiguous_access,1201,0,0.0930435780028346925974,,,
contiguous_access,1201,1,0.0914409699907992035151,,,
contiguous_access,1201,2,0.0913133680005557835102,,,
contiguous_access,1201,3,0.0912804910039994865656,,,
contiguous_access,1201,4,0.0912521830177865922451,,,
contiguous_access,1201,5,0.0912321880168747156858,,,
contiguous_access,1201,6,0.0911720669828355312347,,,
contiguous_access,1201,7,0.0912038480164483189583,,,
contiguous_access,1201,8,0.0916848860215395689011,,,
contiguous_access,1201,9,0.0913032120151910930872,,,
contiguous_access,1401,0,0.148748160019749775529,,,
contiguous_access,1401,1,0.147149810014525428414,,,
contiguous_access,1401,2,0.148064811015501618385,,,
contiguous_access,1401,3,0.148193738976260647178,,,
contiguous_access,1401,4,0.147704381000949069858,,,
contiguous_access,1401,5,0.147255934018176048994,,,
contiguous_access,1401,6,0.147074631997384130955,,,
contiguous_access,1401,7,0.147229466994758695364,,,
contiguous_access,1401,8,0.147665400989353656769,,,
contiguous_access,1401,9,0.147662917996058240533,,,
contiguous_access,1601,0,0.222006203985074535012,,,
contiguous_access,1601,1,0.219744949019514024258,,,
contiguous_access,1601,2,0.220278232998680323362,,,
contiguous_access,1601,3,0.222149728011572733521,,,
contiguous_access,1601,4,0.221688413992524147034,,,
contiguous_access,1601,5,0.21965152598568238318,,,
contiguous_access,1601,6,0.220823484996799379587,,,
contiguous_access,1601,7,0.221494854020420461893,,,
contiguous_access,1601,8,0.219885022001108154655,,,
contiguous_access,1601,9,0.220351908996235579252,,,
contiguous_access,1801,0,0.312249873997643589973,,,
contiguous_access,1801,1,0.313322147994767874479,,,
contiguous_access,1801,2,0.31159867200767621398,,,
contiguous_access,1801,3,0.31276567300665192306,,,
contiguous_access,1801,4,0.313013548002345487475,,,
contiguous_access,1801,5,0.312301823985762894154,,,
contiguous_access,1801,6,0.312447695992887020111,,,
contiguous_access,1801,7,0.312232739990577101707,,,
contiguous_access,1801,8,0.312732391990721225739,,,
contiguous_access,1801,9,0.311938514001667499542,,,
contiguous_access,2001,0,0.42740376401343382895,,,
contiguous_access,2001,1,0.426705074001802131534,,,
contiguous_access,2001,2,0.427573330001905560493,,,
contiguous_access,2001,3,0.424236015998758375645,,,
contiguous_access,2001,4,0.425892706000013276935,,,
contiguous_access,2001,5,0.424316507996991276741,,,
contiguous_access,2001,6,0.427900631009833887219,,,
contiguous_access,2001,7,0.426600381993921473622,,,
contiguous_access,2001,8,0.427397636987734586,,,
contiguous_access,2001,9,0.425099168001906946301,,,
contiguous_access,2201,0,0.559970248985337093472,,,
contiguous_access,2201,1,0.559509999002330005169,,,
contiguous_access,2201,2,0.562408833997324109077,,,
contiguous_access,2201,3,0.5591184039949439466,,,
contiguous_access,2201,4,0.558684755989816039801,,,
contiguous_access,2201,5,0.559734587004641070962,,,
contiguous_access,2201,6,0.559823513001902028918,,,
contiguous_access,2201,7,0.559491625986993312836,,,
contiguous_access,2201,8,0.55773718099226243794,,,
contiguous_access,2201,9,0.559064603003207594156,,,
contiguous_access,2401,0,0.723682255018502473831,,,
contiguous_access,2401,1,0.724064864974934607744,,,
contiguous_access,2401,2,0.727774167986353859305,,,
contiguous_access,2401,3,0.724810444982722401619,,,
contiguous_access,2401,4,0.724467049993108958006,,,
contiguous_access,2401,5,0.725495430000592023134,,,
contiguous_access,2401,6,0.724850815022364258766,,,
contiguous_access,2401,7,0.723126091004814952612,,,
contiguous_access,2401,8,0.723615629016421735287,,,
contiguous_access,2401,9,0.723433463979745283723,,,
contiguous_access,2601,0,0.914296914008446037769,,,
contiguous_access,2601,1,0.940507281979080289602,,,
contiguous_access,2601,2,0.911256577994208782911,,,
contiguous_access,2601,3,0.912913384003331884742,,,
contiguous_access,2601,4,0.911765286000445485115,,,
contiguous_access,2601,5,0.90963829899556003511,,,
contiguous_access,2601,6,0.907880044018384069204,,,
contiguous_access,2601,7,0.911158931005047634244,,,
contiguous_access,2601,8,0.910347513010492548347,,,
contiguous_access,2601,9,0.911831747012911364436,,,
contiguous_access,2801,0,1.16317925500334240496,,,
contiguous_access,2801,1,1.19301971798995509744,,,
contiguous_access,2801,2,1.15988509301678277552,,,
contiguous_access,2801,3,1.1584106289956253022,,,
contiguous_access,2801,4,1.16955014900304377079,,,
contiguous_access,2801,5,1.16073613698245026171,,,
contiguous_access,2801,6,1.16284934099530801177,,,
contiguous_access,2801,7,1.16410369199002161622,,,
contiguous_access,2801,8,1.16448372899321839213,,,
contiguous_access,2801,9,1.15893897999194450676,,,
contiguous_access,3001,0,1.40994581399718299508,,,
contiguous_access,3001,1,1.41783502200269140303,,,
contiguous_access,3001,2,1.44787319199531339109,,,
contiguous_access,3001,3,1.41501650301506742835,,,
contiguous_access,3001,4,1.41424598000594414771,,,
contiguous_access,3001,5,1.41509868099819868803,,,
contiguous_access,3001,6,1.411378281976794824,,,
contiguous_access,3001,7,1.41643555602058768272,,,
contiguous_access,3001,8,1.41009022601065225899,,,
contiguous_access,3001,9,1.41894589000730775297,,,
contiguous_access,3201,0,1.77708686000551097095,,,
contiguous_access,3201,1,1.75675080899964086711,,,
contiguous_access,3201,2,1.84197414098889566958,,,
contiguous_access,3201,3,1.74899012898094952106,,,
contiguous_access,3201,4,1.7639382760098669678,,,
contiguous_access,3201,5,1.74669646599795669317,,,
contiguous_access,3201,6,1.8437076880072709173,,,
contiguous_access,3201,7,1.73445282099419273436,,,
