method,n,elapsed_median,elapsed_mean,elapsed_error
upper_triangle,1,3.75002855435013771057e-08,5.69998519495129585266e-08,6.55088631747844021279e-08
upper_triangle,201,0.000286619004327803850174,0.000306049000937491644508,5.74726817411828558302e-05
upper_triangle,401,0.00227886399079579859972,0.00232346179545857029619,9.60152730668501456926e-05
upper_triangle,601,0.00851276250614318996668,0.00850777640298474614744,5.19846398406701749872e-05
upper_triangle,801,0.0254969704983523115516,0.0255063339951448128651,2.69100951667647018798e-05
upper_triangle,1001,0.0533861900039482861757,0.0533403745037503568271,8.6971930676730375108e-05
upper_triangle,1201,0.0937164194911019876599,0.0937371406966121811788,0.00010172917282768166483
upper_triangle,1401,0.150650594485341571271,0.150740005902480322941,0.000526677733492958563208
upper_triangle,1601,0.223256706492975354195,0.22332621309324168779,0.000262046742054791411466
upper_triangle,1801,0.315786586987087503076,0.315787687400006678029,0.0004090348449989960819
upper_triangle,2001,0.429417927487520501018,0.429428662499412916453,0.00051232719842136367934
upper_triangle,2201,0.565786863502580672503,0.565724170496105238648,0.000709765931156692013622
upper_triangle,2401,0.730897060508141294122,0.731266670499462589916,0.001090113126519044566
upper_triangle,2601,0.926338650489924475551,0.927956181595800400075,0.00506849145452730083516
upper_triangle,2801,1.16119024249201174825,1.1631110390997492221,0.00705766806050574235787
upper_triangle,3001,1.49126046200399287045,1.48800010959384954035,0.0251592334697505193297
upper_triangle,3201,1.82361825498810503632,1.81615239369566561223,0.0217473747027547986699
upper_triangle,3401,2.38289744999201502651,2.36671311830286867917,0.0472857465132266105434
upper_triangle,3601,2.79238242800056468695,2.8023552643979199317,0.0649101703218264991513
upper_triangle,3801,3.40239523300260771066,3.39979667679872354924,0.0565839885164463735068
upper_triangle,4001,4.17454082150652538985,4.16069849619816523045,0.07953449944379145653
upper_triangle,4201,5.10056974900362547487,5.11083608500484842807,0.154806379960041207156
upper_triangle,4401,5.9616586645133793354,5.95785176130302751574,0.0708531664604818284259
upper_triangle,4601,7.09100553450116422027,7.08859221339807810125,0.10083391899704627348
upper_triangle,4801,8.44738377748581115156,8.44045458949694804573,0.147789812262993675018
