method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_tile_parallel_blocked,1,0,5.08199445903301239014e-06,,,
openmp_tile_parallel_blocked,1,1,1.49200786836445331573e-06,,,
openmp_tile_parallel_blocked,1,2,8.30012140795588493347e-07,,,
openmp_tile_parallel_blocked,1,3,7.86007149145007133484e-07,,,
openmp_tile_parallel_blocked,1,4,7.950002327561378479e-07,,,
openmp_tile_parallel_blocked,1,5,8.54022800922393798828e-07,,,
openmp_tile_parallel_blocked,1,6,8.25995812192559242249e-07,,,
openmp_tile_parallel_blocked,1,7,8.09988705441355705261e-07,,,
openmp_tile_parallel_blocked,1,8,7.950002327561378479e-07,,,
openmp_tile_parallel_blocked,1,9,8.17002728581428527832e-07,,,
openmp_tile_parallel_blocked,201,0,0.000467401987407356500626,,,
openmp_tile_parallel_blocked,201,1,0.000462356983916833996773,,,
openmp_tile_parallel_blocked,201,2,0.000458804017398506402969,,,
openmp_tile_parallel_blocked,201,3,0.000467809004476293921471,,,
openmp_tile_parallel_blocked,201,4,0.000471927982289344072342,,,
openmp_tile_parallel_blocked,201,5,0.000475813983939588069916,,,
openmp_tile_parallel_blocked,201,6,0.000489828991703689098358,,,
openmp_tile_parallel_blocked,201,7,0.000468515994725748896599,,,
openmp_tile_parallel_blocked,201,8,0.000470966013381257653236,,,
openmp_tile_parallel_blocked,201,9,0.000512191007146611809731,,,
openmp_tile_parallel_blocked,401,0,0.00288583600195124745369,,,
openmp_tile_parallel_blocked,401,1,0.00291425798786804080009,,,
openmp_tile_parallel_blocked,401,2,0.00290382999810390174389,,,
openmp_tile_parallel_blocked,401,3,0.00285581802017986774445,,,
openmp_tile_parallel_blocked,401,4,0.00288923698826692998409,,,
openmp_tile_parallel_blocked,401,5,0.00289147600415162742138,,,
openmp_tile_parallel_blocked,401,6,0.00289069500286132097244,,,
openmp_tile_parallel_blocked,401,7,0.00285311500192619860172,,,
openmp_tile_parallel_blocked,401,8,0.00289434197475202381611,,,
openmp_tile_parallel_blocked,401,9,0.00289965499541722238064,,,
openmp_tile_parallel_blocked,601,0,0.00902021001093089580536,,,
openmp_tile_parallel_blocked,601,1,0.00908121000975370407104,,,
openmp_tile_parallel_blocked,601,2,0.00901720899855718016624,,,
openmp_tile_parallel_blocked,601,3,0.0091463889984879642725,,,
openmp_tile_parallel_blocked,601,4,0.00920334301190450787544,,,
