optimisation,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp_row_parallel_unblocked,10000,0,16.5399169860011170385,nan,85170.9001781829364575,85170.9001781829363722,1.00110634163583987777e-16
openmp_tile_parallel_blocked,10000,0,1.34019957499913289212,nan,85170.9001781829364575,85170.9001781829363722,1.00110634163583987777e-16
openmp_block_row_parallel,10000,0,2.66171931100143410731,nan,85170.9001781829364575,85170.9001781829363722,1.00110634163583987777e-16
openmp_tile_list_parallel,10000,0,0.869426042998384218663,nan,85170.9001781829364575,85170.9001781829363722,1.00110634163583987777e-16
openmp_row_parallel_unblocked,10000,0,16.7601085710048209876,,,,
openmp_row_parallel_unblocked,10000,1,16.8180391030036844313,,,,
openmp_row_parallel_unblocked,10000,2,16.73581418399407994,,,,
openmp_row_parallel_unblocked,10000,3,16.6546933680074289441,,,,
openmp_row_parallel_unblocked,10000,4,16.6339360270067118108,,,,
openmp_row_parallel_unblocked,10000,5,16.6385667940048733726,,,,
openmp_row_parallel_unblocked,10000,6,16.9651300939876819029,,,,
openmp_row_parallel_unblocked,10000,7,16.6066001339931972325,,,,
openmp_row_parallel_unblocked,10000,8,16.7478973679972114041,,,,
openmp_row_parallel_unblocked,10000,9,16.5715608150057960302,,,,
openmp_tile_list_parallel,10000,0,7.01158790900080930442,,,,
openmp_tile_list_parallel,10000,1,7.00322683299600612372,,,,
openmp_tile_list_parallel,10000,2,6.9974630340002477169,,,,
openmp_tile_list_parallel,10000,3,7.00180356399505399168,,,,
openmp_tile_list_parallel,10000,4,6.96988847400643862784,,,,
openmp_tile_list_parallel,10000,5,6.98031307700148317963,,,,
openmp_tile_list_parallel,10000,6,6.98014945299655664712,,,,
openmp_tile_list_parallel,10000,7,6.99807625998801086098,,,,
openmp_tile_list_parallel,10000,8,6.96978852199390530586,,,,
openmp_tile_list_parallel,10000,9,6.95701294500031508505,,,,
openmp_task_dag_blocked,10000,0,1.12690715899952920154,,,,
openmp_task_dag_blocked,10000,1,1.14613170600205194205,,,,
openmp_task_dag_blocked,10000,2,1.14600581199920270592,,,,
openmp_task_dag_blocked,10000,3,1.12661572700017131865,,,,
openmp_task_dag_blocked,10000,4,1.12711322599716368131,,,,
openmp_task_dag_blocked,10000,5,1.12993307400029152632,,,,
openmp_task_dag_blocked,10000,6,1.14211315200009266846,,,,
openmp_task_dag_blocked,10000,7,1.15106753500003833324,,,,
openmp_task_dag_blocked,10000,8,1.15443138499904307537,,,,
openmp_task_dag_blocked,10000,9,1.14563999799793236889,,,,
