method,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
cholesky_blocked_tile_kernels_unrolled,2000,1,0,3.85977490298682823777,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,1,3.90459141100291162729,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,2,3.86113331501837819815,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,3,3.89522273204056546092,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,4,3.88738668797304853797,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,5,3.92121437902096658945,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,6,3.87044179096119478345,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,7,3.8948611500090919435,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,8,3.89663257001666352153,,,
cholesky_blocked_tile_kernels_unrolled,2000,1,9,3.90215636399807408452,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,0,1.58062954695196822286,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,1,1.58889156900113448501,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,2,1.59168051602318882942,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,3,1.5904473370173946023,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,4,1.59296010597608983517,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,5,1.60435468301875516772,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,6,1.60116666299290955067,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,7,1.59718633396551012993,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,8,1.65915905497968196869,,,
cholesky_blocked_tile_kernels_unrolled,2000,2,9,1.5890738770249299705,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,0,1.17873411503387615085,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,1,1.18000173004111275077,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,2,1.18243621796136721969,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,3,1.18537852598819881678,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,4,1.18524514796445146203,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,5,1.23891897295834496617,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,6,1.18524754699319601059,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,7,1.1831037809606641531,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,8,1.17211115604732185602,,,
cholesky_blocked_tile_kernels_unrolled,2000,3,9,1.22811294998973608017,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,0,0.689144624979235231876,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,1,0.692520159005653113127,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,2,0.687920952972490340471,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,3,0.688019429973792284727,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,4,0.689341029967181384563,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,5,0.684269055956974625587,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,6,0.678537814994342625141,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,7,0.686410875990986824036,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,8,0.690276089997496455908,,,
cholesky_blocked_tile_kernels_unrolled,2000,4,9,0.688483229023404419422,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,0,0.66451354295713827014,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,1,0.659959959972184151411,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,2,0.664184349006973206997,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,3,0.65959421300794929266,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,4,0.655293316987808793783,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,5,0.656408321985509246588,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,6,0.661010694981086999178,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,7,0.659541114990133792162,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,8,0.667558268003631383181,,,
cholesky_blocked_tile_kernels_unrolled,2000,5,9,0.688262762967497110367,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,0,0.698555510025471448898,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,1,0.691465006966609507799,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,2,0.694074388011358678341,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,3,0.675976134021766483784,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,4,0.677842273027636110783,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,5,0.677705755981151014566,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,6,0.675464600033592432737,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,7,0.671849118953105062246,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,8,0.670529071008786559105,,,
cholesky_blocked_tile_kernels_unrolled,2000,6,9,0.66964875097619369626,,,
cholesky_blocked_tile_kernels_unrolled,2000,7,0,0.666682788985781371593,,,
cholesky_blocked_tile_kernels_unrolled,2000,7,1,0.668133386003319174051,,,
cholesky_blocked_tile_kernels_unrolled,2000,7,2,0.668119716981891542673,,,
