method,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp_row_parallel_unblocked,1,0,0.0160866239966708235443,,,,
openmp_row_parallel_unblocked,1,1,2.3505002900492399931e-05,,,,
openmp_row_parallel_unblocked,1,2,1.72660002135671675205e-05,,,,
openmp_row_parallel_unblocked,1,3,1.77900001290254294872e-05,,,,
openmp_row_parallel_unblocked,1,4,1.74640008481219410896e-05,,,,
openmp_row_parallel_unblocked,1,5,1.86709949048236012459e-05,,,,
openmp_row_parallel_unblocked,1,6,1.8474005628377199173e-05,,,,
openmp_row_parallel_unblocked,1,7,1.81620052899233996868e-05,,,,
openmp_row_parallel_unblocked,1,8,1.8349004676565527916e-05,,,,
openmp_row_parallel_unblocked,1,9,1.8833001377061009407e-05,,,,
openmp_tile_parallel_blocked,1,0,2.5806999474298208952e-05,,,,
openmp_tile_parallel_blocked,1,1,2.21969967242330312729e-05,,,,
openmp_tile_parallel_blocked,1,2,2.6895002520177513361e-05,,,,
openmp_tile_parallel_blocked,1,3,2.76419959845952689648e-05,,,,
openmp_tile_parallel_blocked,1,4,2.46099953074008226395e-05,,,,
openmp_tile_parallel_blocked,1,5,2.34219987760297954082e-05,,,,
openmp_tile_parallel_blocked,1,6,2.61550012510269880295e-05,,,,
openmp_tile_parallel_blocked,1,7,2.39989967667497694492e-05,,,,
openmp_tile_parallel_blocked,1,8,2.60119995800778269768e-05,,,,
openmp_tile_parallel_blocked,1,9,3.36220036842860281467e-05,,,,
openmp_block_row_parallel,1,0,1.29002728499472141266e-07,,,,
openmp_block_row_parallel,1,1,5.900074029341340065e-08,,,,
openmp_block_row_parallel,1,2,4.80067683383822441101e-08,,,,
openmp_block_row_parallel,1,3,5.80039341002702713013e-08,,,,
openmp_block_row_parallel,1,4,6.19984348304569721222e-08,,,,
openmp_block_row_parallel,1,5,4.90035745315253734589e-08,,,,
openmp_block_row_parallel,1,6,1.27998646348714828491e-07,,,,
openmp_block_row_parallel,1,7,8.60018189996480941772e-08,,,,
openmp_block_row_parallel,1,8,2.43002432398498058319e-07,,,,
openmp_block_row_parallel,1,9,1.7700222088024020195e-07,,,,
openmp_tile_list_parallel,1,0,0.000260705004620831459761,,,,
openmp_tile_list_parallel,1,1,2.42060050368309020996e-05,,,,
openmp_tile_list_parallel,1,2,2.92389959213323891163e-05,,,,
openmp_tile_list_parallel,1,3,2.65590060735121369362e-05,,,,
openmp_tile_list_parallel,1,4,2.40200024563819169998e-05,,,,
openmp_tile_list_parallel,1,5,2.46870040427893400192e-05,,,,
openmp_tile_list_parallel,1,6,2.69019947154447436333e-05,,,,
openmp_tile_list_parallel,1,7,2.63790061580948531628e-05,,,,
openmp_tile_list_parallel,1,8,2.36150008277036249638e-05,,,,
openmp_tile_list_parallel,1,9,2.45459959842264652252e-05,,,,
openmp_task_dag_blocked,1,0,5.0973998440895229578e-05,,,,
openmp_task_dag_blocked,1,1,4.36389964306727051735e-05,,,,
openmp_task_dag_blocked,1,2,4.37189955846406519413e-05,,,,
openmp_task_dag_blocked,1,3,3.69030021829530596733e-05,,,,
openmp_task_dag_blocked,1,4,2.49610020546242594719e-05,,,,
openmp_task_dag_blocked,1,5,2.97620063065551221371e-05,,,,
openmp_task_dag_blocked,1,6,2.24699979298748075962e-05,,,,
openmp_task_dag_blocked,1,7,1.87989935511723160744e-05,,,,
openmp_task_dag_blocked,1,8,4.65569974039681255817e-05,,,,
openmp_task_dag_blocked,1,9,7.41570038371719419956e-05,,,,
