method,n,elapsed_median,elapsed_mean,elapsed_error
openmp_task_dag_blocked,1,1.03749334812164306641e-06,2.3880944354459644211e-06,2.93458098416509421873e-06
openmp_task_dag_blocked,201,0.000426979007897898554802,0.000436172701301984499806,1.87707093601465076736e-05
openmp_task_dag_blocked,401,0.0028643425030168145895,0.00285895959823392322927,1.78995899578708748056e-05
openmp_task_dag_blocked,601,0.00946033649961464107037,0.00947892250260338152523,0.0001051371178670709955
openmp_task_dag_blocked,801,0.0224024570052279159427,0.0224378932034596800804,0.000127845719434968731849
openmp_task_dag_blocked,1001,0.0426438940048683434725,0.0426914954005042091012,0.000229557934965891354256
openmp_task_dag_blocked,1201,0.0734466090070782229304,0.0733725643047364456395,0.000250170253104803146614
openmp_task_dag_blocked,1401,0.116234314496978186071,0.116254496396868495234,0.000522123023593560144952
openmp_task_dag_blocked,1601,0.1731769244943279773,0.173190945800160978063,0.000427855655227913635966
openmp_task_dag_blocked,1801,0.245067991010728292167,0.244989455200266104118,0.000529260943220335208607
openmp_task_dag_blocked,2001,0.332498738978756591678,0.332504429193795636444,0.00098246714568112091838
openmp_task_dag_blocked,2201,0.436749471991788595915,0.436779917700914677159,0.000651007893282498314481
openmp_task_dag_blocked,2401,0.564271978495526127517,0.564118172801681749817,0.0012437386259253385614
openmp_task_dag_blocked,2601,0.719218268495751544833,0.718967290304135531187,0.000944100981274404631519
openmp_task_dag_blocked,2801,0.890208568511297926307,0.889309255706029921917,0.00224835120296021373498
openmp_task_dag_blocked,3001,1.07912797250901348889,1.07655490550387189508,0.00850373893455068710634
openmp_task_dag_blocked,3201,1.31217495199234690517,1.31038807480072128087,0.00753003634657547962078
openmp_task_dag_blocked,3401,1.58688443349092267454,1.58711019689799281984,0.00395304037014441132791
openmp_task_dag_blocked,3601,1.89079443049558904022,1.8901335231988922736,0.00314175197392570649396
openmp_task_dag_blocked,3801,2.20107854848902206868,2.19920314459304799826,0.00990858357495035500795
openmp_task_dag_blocked,4001,2.56557865600916557014,2.56945963259495346875,0.00869647351684539431094
openmp_task_dag_blocked,4201,2.95416645851219072938,2.92303083590522883028,0.0817127144976687730393
openmp_task_dag_blocked,4401,3.07072221400449052453,3.0987915966979926452,0.0663733556193563944969
openmp_task_dag_blocked,4601,3.56387125050241593271,3.55861729370662960292,0.0291312769012050942763
openmp_task_dag_blocked,4801,4.05566008550522383302,4.04663824380550085635,0.0345919276012593215897
