tag,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
contiguous_access,100,0,3.64129955414682626724e-05,unavailable,unavailable,unavailable
contiguous_access,100,1,5.3822994232177734375e-05,unavailable,unavailable,unavailable
contiguous_access,100,2,3.28649912262335419655e-05,unavailable,unavailable,unavailable
contiguous_access,500,0,0.0042078729893546551466,unavailable,unavailable,unavailable
contiguous_access,500,1,0.00432050100062042474747,unavailable,unavailable,unavailable
contiguous_access,500,2,0.00442525200196541845798,unavailable,unavailable,unavailable
contiguous_access,1000,0,0.0517110829969169571996,unavailable,unavailable,unavailable
contiguous_access,1000,1,0.0517214550054632127285,unavailable,unavailable,unavailable
contiguous_access,1000,2,0.0515634150069672614336,unavailable,unavailable,unavailable
contiguous_access,1500,0,0.183898629999021068215,unavailable,unavailable,unavailable
contiguous_access,1500,1,0.182172051994712091982,unavailable,unavailable,unavailable
contiguous_access,1500,2,0.180560070002684369683,unavailable,unavailable,unavailable
contiguous_access,2000,0,0.425577187997987493873,unavailable,unavailable,unavailable
contiguous_access,2000,1,0.426077463998808525503,unavailable,unavailable,unavailable
contiguous_access,2000,2,0.423214244001428596675,unavailable,unavailable,unavailable
contiguous_access,2500,0,0.821748049012967385352,unavailable,unavailable,unavailable
contiguous_access,2500,1,0.819646263000322505832,unavailable,unavailable,unavailable
contiguous_access,2500,2,0.814740126006654463708,unavailable,unavailable,unavailable
contiguous_access,3000,0,1.405604195999330841,unavailable,unavailable,unavailable
contiguous_access,3000,1,1.42113598401192575693,unavailable,unavailable,unavailable
contiguous_access,3000,2,1.41229815600672736764,unavailable,unavailable,unavailable
contiguous_access,3500,0,2.36914744898967910558,unavailable,unavailable,unavailable
contiguous_access,3500,1,2.37409725900215562433,unavailable,unavailable,unavailable
contiguous_access,3500,2,2.37108300899853929877,unavailable,unavailable,unavailable
contiguous_access,4000,0,3.88149340299423784018,unavailable,unavailable,unavailable
contiguous_access,4000,1,3.93070159098715521395,unavailable,unavailable,unavailable
contiguous_access,4000,2,3.87130386200442444533,unavailable,unavailable,unavailable
contiguous_access,4500,0,6.85115791100542992353,unavailable,unavailable,unavailable
contiguous_access,4500,1,6.81624215100600849837,unavailable,unavailable,unavailable
contiguous_access,4500,2,6.80832014398765750229,unavailable,unavailable,unavailable
contiguous_access,5000,0,10.7869002750085201114,unavailable,unavailable,unavailable
contiguous_access,5000,1,10.8239535149914445356,unavailable,unavailable,unavailable
contiguous_access,5000,2,10.712385951992473565,unavailable,unavailable,unavailable
