method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_block_row_parallel,1,0,4.2101601138710975647e-07,,,
openmp_block_row_parallel,1,1,7.40110408514738082886e-08,,,
openmp_block_row_parallel,1,2,5.9982994571328163147e-08,,,
openmp_block_row_parallel,1,3,8.19854903966188430786e-08,,,
openmp_block_row_parallel,1,4,7.20028765499591827393e-08,,,
openmp_block_row_parallel,1,5,7.3981937021017074585e-08,,,
openmp_block_row_parallel,1,6,5.9982994571328163147e-08,,,
openmp_block_row_parallel,1,7,4.89817466586828231812e-08,,,
openmp_block_row_parallel,1,8,7.40110408514738082886e-08,,,
openmp_block_row_parallel,1,9,7.50005710870027542114e-08,,,
openmp_block_row_parallel,201,0,0.000468095997348427772522,,,
openmp_block_row_parallel,201,1,0.000455099012469872832298,,,
openmp_block_row_parallel,201,2,0.000573386991163715720177,,,
openmp_block_row_parallel,201,3,0.000587413000175729393959,,,
openmp_block_row_parallel,201,4,0.000599206017795950174332,,,
openmp_block_row_parallel,201,5,0.000451766012702137231827,,,
openmp_block_row_parallel,201,6,0.000472362007712945342064,,,
openmp_block_row_parallel,201,7,0.000448953011073172092438,,,
openmp_block_row_parallel,201,8,0.000471270992420613765717,,,
openmp_block_row_parallel,201,9,0.000560774991754442453384,,,
openmp_block_row_parallel,401,0,0.0031084859801921993494,,,
openmp_block_row_parallel,401,1,0.00310257598175667226315,,,
openmp_block_row_parallel,401,2,0.00305124800070188939571,,,
openmp_block_row_parallel,401,3,0.00305468501755967736244,,,
openmp_block_row_parallel,401,4,0.00317685198388062417507,,,
openmp_block_row_parallel,401,5,0.00305122698773629963398,,,
openmp_block_row_parallel,401,6,0.00305232597747817635536,,,
openmp_block_row_parallel,401,7,0.00305379100609570741653,,,
openmp_block_row_parallel,401,8,0.0030521349981427192688,,,
openmp_block_row_parallel,401,9,0.0032117049850057810545,,,
openmp_block_row_parallel,601,0,0.0100222830078564584255,,,
openmp_block_row_parallel,601,1,0.00983737700153142213821,,,
openmp_block_row_parallel,601,2,0.00982510700123384594917,,,
openmp_block_row_parallel,601,3,0.00985489899176172912121,,,
openmp_block_row_parallel,601,4,0.00983389699831604957581,,,
openmp_block_row_parallel,601,5,0.00981941900681704282761,,,
openmp_block_row_parallel,601,6,0.00982635898981243371964,,,
openmp_block_row_parallel,601,7,0.00989642398781143128872,,,
openmp_block_row_parallel,601,8,0.00982811301946640014648,,,
openmp_block_row_parallel,601,9,0.0098347739840392023325,,,
openmp_block_row_parallel,801,0,0.0227087309758644551039,,,
openmp_block_row_parallel,801,1,0.0224358369887340813875,,,
openmp_block_row_parallel,801,2,0.0227308110042940825224,,,
openmp_block_row_parallel,801,3,0.022353751002810895443,,,
openmp_block_row_parallel,801,4,0.0225875230098608881235,,,
openmp_block_row_parallel,801,5,0.0223857809905894100666,,,
openmp_block_row_parallel,801,6,0.0224405129847582429647,,,
openmp_block_row_parallel,801,7,0.0224989409907720983028,,,
openmp_block_row_parallel,801,8,0.0225907939893659204245,,,
openmp_block_row_parallel,801,9,0.0226441760023590177298,,,
openmp_block_row_parallel,1001,0,0.0437297500029671937227,,,
openmp_block_row_parallel,1001,1,0.0435673030151519924402,,,
openmp_block_row_parallel,1001,2,0.043802075990242883563,,,
openmp_block_row_parallel,1001,3,0.0439397220034152269363,,,
openmp_block_row_parallel,1001,4,0.0435688740108162164688,,,
openmp_block_row_parallel,1001,5,0.0437963970180135220289,,,
openmp_block_row_parallel,1001,6,0.0438479370204731822014,,,
openmp_block_row_parallel,1001,7,0.0439077920163981616497,,,
openmp_block_row_parallel,1001,8,0.0438975319848395884037,,,
openmp_block_row_parallel,1001,9,0.0437621290038805454969,,,
openmp_block_row_parallel,1201,0,0.0721766529895830899477,,,
openmp_block_row_parallel,1201,1,0.0726105259964242577553,,,
openmp_block_row_parallel,1201,2,0.0722259680042043328285,,,
openmp_block_row_parallel,1201,3,0.0728293490246869623661,,,
openmp_block_row_parallel,1201,4,0.072326702997088432312,,,
openmp_block_row_parallel,1201,5,0.0725487209856510162354,,,
openmp_block_row_parallel,1201,6,0.0719013589841779321432,,,
openmp_block_row_parallel,1201,7,0.0717200570215936750174,,,
openmp_block_row_parallel,1201,8,0.0721185970178339630365,,,
openmp_block_row_parallel,1201,9,0.0723871460068039596081,,,
openmp_block_row_parallel,1401,0,0.111475861980579793453,,,
openmp_block_row_parallel,1401,1,0.111421814013738185167,,,
openmp_block_row_parallel,1401,2,0.11120815298636443913,,,
openmp_block_row_parallel,1401,3,0.111130158999003469944,,,
openmp_block_row_parallel,1401,4,0.111154058016836643219,,,
openmp_block_row_parallel,1401,5,0.111656554974615573883,,,
openmp_block_row_parallel,1401,6,0.111289613996632397175,,,
openmp_block_row_parallel,1401,7,0.111005667014978826046,,,
openmp_block_row_parallel,1401,8,0.110675700998399406672,,,
openmp_block_row_parallel,1401,9,0.11082319699926301837,,,
openmp_block_row_parallel,1601,0,0.162773853982798755169,,,
openmp_block_row_parallel,1601,1,0.164607637998415157199,,,
openmp_block_row_parallel,1601,2,0.165494396991562098265,,,
openmp_block_row_parallel,1601,3,0.164458672021282836795,,,
openmp_block_row_parallel,1601,4,0.164068451995262876153,,,
openmp_block_row_parallel,1601,5,0.164636867993976920843,,,
openmp_block_row_parallel,1601,6,0.164417345018591731787,,,
openmp_block_row_parallel,1601,7,0.164227633998962119222,,,
openmp_block_row_parallel,1601,8,0.163469035993330180645,,,
