optimisation,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp2,1000,0,0.01395250007044524,nan,6213.7553994947002,6213.7553994947002,0
openmp2,1000,1,0.012024875031784177,nan,6213.7553994947002,6213.7553994947002,0
openmp2,1000,2,0.011799291940405965,nan,6213.7553994947002,6213.7553994947002,0
openmp2,1000,3,0.011766415904276073,nan,6213.7553994947002,6213.7553994947002,0
openmp2,1000,4,0.011384957935661077,nan,6213.7553994947002,6213.7553994947002,0
openmp3,1000,0,0.011382083059288561,nan,6213.7553994947002,6213.7553994947002,0
openmp3,1000,1,0.011612166999839246,nan,6213.7553994947002,6213.7553994947002,0
openmp3,1000,2,0.011036208015866578,nan,6213.7553994947002,6213.7553994947002,0
openmp3,1000,3,0.01106587506365031,nan,6213.7553994947002,6213.7553994947002,0
openmp3,1000,4,0.01112129190005362,nan,6213.7553994947002,6213.7553994947002,0
openmp4,1000,0,0.011790374992415309,nan,6213.7553994947002,6213.7553994947002,0
openmp4,1000,1,0.011503000045195222,nan,6213.7553994947002,6213.7553994947002,0
openmp4,1000,2,0.011984750046394765,nan,6213.7553994947002,6213.7553994947002,0
openmp4,1000,3,0.011836083023808897,nan,6213.7553994947002,6213.7553994947002,0
openmp4,1000,4,0.011868375004269183,nan,6213.7553994947002,6213.7553994947002,0
openmp5,1000,0,0.0073820839170366526,nan,6213.7553994947002,6213.7553994947002,0
openmp5,1000,1,0.0074107919353991747,nan,6213.7553994947002,6213.7553994947002,0
openmp5,1000,2,0.0074539999477565289,nan,6213.7553994947002,6213.7553994947002,0
openmp5,1000,3,0.00734745804220438,nan,6213.7553994947002,6213.7553994947002,0
openmp5,1000,4,0.008698625024408102,nan,6213.7553994947002,6213.7553994947002,0
