method,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp_row_parallel_unblocked,1,0,0.0160866239966708,,,,
openmp_row_parallel_unblocked,1,1,2.35050029004924e-05,,,,
openmp_row_parallel_unblocked,1,2,1.7266000213567168e-05,,,,
openmp_row_parallel_unblocked,1,3,1.779000012902543e-05,,,,
openmp_row_parallel_unblocked,1,4,1.746400084812194e-05,,,,
openmp_row_parallel_unblocked,1,5,1.86709949048236e-05,,,,
openmp_row_parallel_unblocked,1,6,1.84740056283772e-05,,,,
openmp_row_parallel_unblocked,1,7,1.81620052899234e-05,,,,
openmp_row_parallel_unblocked,1,8,1.8349004676565528e-05,,,,
openmp_row_parallel_unblocked,1,9,1.883300137706101e-05,,,,
openmp_row_parallel_unblocked,100,0,0.0191126730060204,,,,
openmp_row_parallel_unblocked,100,1,0.001334755004791,,,,
openmp_row_parallel_unblocked,100,2,0.0013413429987849,,,,
openmp_row_parallel_unblocked,100,3,0.0013210399993113,,,,
openmp_row_parallel_unblocked,100,4,0.0013684849982382,,,,
openmp_row_parallel_unblocked,100,5,0.0013346009945962,,,,
openmp_row_parallel_unblocked,100,6,0.0013226009978097,,,,
openmp_row_parallel_unblocked,100,7,0.0013215889994171,,,,
openmp_row_parallel_unblocked,100,8,0.0013181469985283,,,,
openmp_row_parallel_unblocked,100,9,0.0013185490024625,,,,
openmp_row_parallel_unblocked,500,0,0.0429133949946844,,,,
openmp_row_parallel_unblocked,500,1,0.0111018379975575,,,,
openmp_row_parallel_unblocked,500,2,0.0109014080007909,,,,
openmp_row_parallel_unblocked,500,3,0.0109109229961177,,,,
openmp_row_parallel_unblocked,500,4,0.0109364789968822,,,,
openmp_row_parallel_unblocked,500,5,0.0109720479958923,,,,
openmp_row_parallel_unblocked,500,6,0.010902937996434,,,,
openmp_row_parallel_unblocked,500,7,0.0109642780007561,,,,
openmp_row_parallel_unblocked,500,8,0.0108767019992228,,,,
openmp_row_parallel_unblocked,500,9,0.0109713540005031,,,,
openmp_row_parallel_unblocked,1000,0,0.242740096997295,,,,
openmp_row_parallel_unblocked,1000,1,0.0322456829962902,,,,
openmp_row_parallel_unblocked,1000,2,0.0322840560038457,,,,
openmp_row_parallel_unblocked,1000,3,0.0323171199997887,,,,
openmp_row_parallel_unblocked,1000,4,0.032059470002423,,,,
openmp_row_parallel_unblocked,1000,5,0.0323411269928328,,,,
openmp_row_parallel_unblocked,1000,6,0.0322820959991076,,,,
openmp_row_parallel_unblocked,1000,7,0.032058307006082,,,,
openmp_row_parallel_unblocked,1000,8,0.0321343210016493,,,,
openmp_row_parallel_unblocked,1000,9,0.0319579270071699,,,,
openmp_row_parallel_unblocked,2000,0,0.3838567280035931,,,,
openmp_row_parallel_unblocked,2000,1,0.1344072859938023,,,,
openmp_row_parallel_unblocked,2000,2,0.1341536620020633,,,,
openmp_row_parallel_unblocked,2000,3,0.133972668001661,,,,
openmp_row_parallel_unblocked,2000,4,0.1343241750000743,,,,
openmp_row_parallel_unblocked,2000,5,0.1344942380019347,,,,
openmp_row_parallel_unblocked,2000,6,0.1343795389984734,,,,
openmp_row_parallel_unblocked,2000,7,0.1341034979996038,,,,
openmp_row_parallel_unblocked,2000,8,0.1339354489973629,,,,
openmp_row_parallel_unblocked,2000,9,0.1342955169966444,,,,
openmp_row_parallel_unblocked,5000,0,1.624924403999998,,39118.45229417509,39118.45229417509,3.814414061873293e-16
openmp_row_parallel_unblocked,10000,0,16.539916986001117,,85170.90017818294,85170.90017818294,1.0011063416358397e-16
openmp_row_parallel_unblocked,10000,0,16.76010857100482,,,,
openmp_row_parallel_unblocked,10000,1,16.818039103003684,,,,
openmp_row_parallel_unblocked,10000,2,16.73581418399408,,,,
openmp_row_parallel_unblocked,10000,3,16.65469336800743,,,,
openmp_row_parallel_unblocked,10000,4,16.633936027006712,,,,
openmp_row_parallel_unblocked,10000,5,16.638566794004873,,,,
openmp_row_parallel_unblocked,10000,6,16.96513009398768,,,,
openmp_row_parallel_unblocked,10000,7,16.606600133993197,,,,
openmp_row_parallel_unblocked,10000,8,16.74789736799721,,,,
openmp_row_parallel_unblocked,10000,9,16.571560815005796,,,,
openmp_row_parallel_unblocked,20000,0,164.39058780000005,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_row_parallel_unblocked,20000,1,165.990587130484,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_row_parallel_unblocked,20000,2,163.891547198412,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_row_parallel_unblocked,30000,0,600.1143629979997,,,,
openmp_row_parallel_unblocked,60000,0,4877.461569000003,,,,
