method,n,elapsed_median,elapsed_mean,elapsed_error
contiguous_access,1,6.10016286373138427734e-08,9.25996573641896194924e-08,7.94770512532982584766e-08
contiguous_access,201,0.000263981492025777697563,0.000263824893045239172208,2.36288882235457960485e-06
contiguous_access,401,0.00200529399444349110126,0.00208366099977865806489,0.000117207746308826130707
contiguous_access,601,0.0078669564973097294569,0.0078537594963563606143,6.43242385994114308084e-05
contiguous_access,801,0.0242925540078431367874,0.0242928092076908803965,2.2825365102998736405e-05
contiguous_access,1001,0.0517093774833483621478,0.0516986216942314086298,3.98526218713115502196e-05
contiguous_access,1201,0.0912918515095952898264,0.0914926791068864930789,0.000535713381260559525984
contiguous_access,1401,0.147664159492705948651,0.147674925302271720096,0.000508350145059559819539
contiguous_access,1601,0.22058769699651747942,0.220807432400761172175,0.000910556459131940231638
contiguous_access,1801,0.312374759989324957132,0.312460308097070094124,0.000484989859253482128668
contiguous_access,2001,0.426652727997861802578,0.426312521600630156549,0.00129079020895823308804
contiguous_access,2201,0.559500812494661659002,0.559554375195875808302,0.00113666548501719093418
contiguous_access,2401,0.724265957484021782875,0.724532021197956010994,0.00128789062730012815981
contiguous_access,2601,0.911510931997327134013,0.914159597802790768739,0.00893735105427708939607
contiguous_access,2801,1.16301429799932520837,1.16551567229616925836,0.00967811034430480186808
contiguous_access,3001,1.41505759200663305819,1.41768651460297401279,0.0104761034659460721546
contiguous_access,3201,1.75287046899029519409,1.76910530650056907476,0.0390254853795614295442
contiguous_access,3401,2.23595042398665100336,2.22131229009246444761,0.0642642328286613384591
contiguous_access,3601,2.61299771349877119064,2.61372354570194165291,0.0137081614278128233186
contiguous_access,3801,3.52853898399916943163,3.52789338610018621267,0.0231103890585044186023
contiguous_access,4001,4.09662800350633915514,4.0728069647972002798,0.0586445260912124982644
contiguous_access,4201,6.27020213550713378936,5.98253185879730153829,0.503718546040442305411
contiguous_access,4401,7.75119605849613435566,7.75304557909839786589,0.0755655241984669878708
contiguous_access,4601,9.21061963400279637426,9.19655344850034417448,0.190014856307247043121
contiguous_access,4801,10.8496506689989473671,10.7978793521993789994,0.175835254662718237784
