optimisation,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
baseline,5000,0,73.91315486950673,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,1,68.27818391460055,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,2,68.38063198745071,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,3,75.06895465304059,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,4,73.78606473703333,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,5,73.52199851400054,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,6,64.53118533145505,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,7,71.25524601395566,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,8,74.83698787028794,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
baseline,5000,9,65.39204884805436,1,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,0,13.160631705992477,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,1,14.287740776185533,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,2,13.05958631392199,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,3,13.280638689813536,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,4,13.202475126354818,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,5,14.37385779917442,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,6,14.347952715306821,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,7,12.491465383896486,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,8,12.504802699100646,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
lower_triangle,5000,9,14.376521063639919,5.146373987784676,39118.45229417509,39118.45229417509,3.814414061873293e-16
upper_triangle,5000,0,10.288628626445957,7.191183676,39118.45229417509,39118.45229417509,3.814414061873293e-16
upper_triangle,5000,1,9.421835940047611,7.191183676,39118.45229417509,39118.45229417509,3.814414061873293e-16
upper_triangle,5000,2,10.307847546897857,7.191183676,39118.45229417509,39118.45229417509,3.814414061873293e-16
