method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_tile_list_parallel,1,0,1.03049969766288995743e-05,,,
openmp_tile_list_parallel,1,1,3.12100746668875217438e-06,,,
openmp_tile_list_parallel,1,2,9.38016455620527267456e-07,,,
openmp_tile_list_parallel,1,3,8.90984665602445602417e-07,,,
openmp_tile_list_parallel,1,4,7.70000042393803596497e-07,,,
openmp_tile_list_parallel,1,5,7.47997546568512916565e-07,,,
openmp_tile_list_parallel,1,6,7.54022039473056793213e-07,,,
openmp_tile_list_parallel,1,7,7.6898140832781791687e-07,,,
openmp_tile_list_parallel,1,8,7.57019734010100364685e-07,,,
openmp_tile_list_parallel,1,9,7.47008016332983970642e-07,,,
openmp_tile_list_parallel,201,0,0.000570723990676924586296,,,
openmp_tile_list_parallel,201,1,0.000566581002203747630119,,,
openmp_tile_list_parallel,201,2,0.000548559997696429491043,,,
openmp_tile_list_parallel,201,3,0.000553438003407791256905,,,
openmp_tile_list_parallel,201,4,0.000564321002457290887833,,,
openmp_tile_list_parallel,201,5,0.000623895000899210572243,,,
openmp_tile_list_parallel,201,6,0.000563793990295380353928,,,
openmp_tile_list_parallel,201,7,0.00056370301172137260437,,,
openmp_tile_list_parallel,201,8,0.000563651992706581950188,,,
openmp_tile_list_parallel,201,9,0.000563599984161555767059,,,
openmp_tile_list_parallel,401,0,0.00363837400800548493862,,,
openmp_tile_list_parallel,401,1,0.00361552397953346371651,,,
openmp_tile_list_parallel,401,2,0.00353887298842892050743,,,
openmp_tile_list_parallel,401,3,0.00362249099998734891415,,,
openmp_tile_list_parallel,401,4,0.00362555001629516482353,,,
openmp_tile_list_parallel,401,5,0.00362691597547382116318,,,
openmp_tile_list_parallel,401,6,0.00362822299939580261707,,,
openmp_tile_list_parallel,401,7,0.00363826498505659401417,,,
openmp_tile_list_parallel,401,8,0.00363924101111479103565,,,
openmp_tile_list_parallel,401,9,0.00352501499583013355732,,,
openmp_tile_list_parallel,601,0,0.0114855180145241320133,,,
openmp_tile_list_parallel,601,1,0.0113348269951529800892,,,
openmp_tile_list_parallel,601,2,0.0117772429948672652245,,,
openmp_tile_list_parallel,601,3,0.0117957889742683619261,,,
openmp_tile_list_parallel,601,4,0.0117278870020527392626,,,
openmp_tile_list_parallel,601,5,0.0117514330195263028145,,,
openmp_tile_list_parallel,601,6,0.0115275539865251630545,,,
openmp_tile_list_parallel,601,7,0.011600009020185098052,,,
openmp_tile_list_parallel,601,8,0.0117023230122867971659,,,
openmp_tile_list_parallel,601,9,0.0115767450188286602497,,,
openmp_tile_list_parallel,801,0,0.025775574991712346673,,,
openmp_tile_list_parallel,801,1,0.0257654949964489787817,,,
openmp_tile_list_parallel,801,2,0.0253902840195223689079,,,
openmp_tile_list_parallel,801,3,0.0252990710141602903605,,,
openmp_tile_list_parallel,801,4,0.0258359879953786730766,,,
openmp_tile_list_parallel,801,5,0.0259935930080246180296,,,
openmp_tile_list_parallel,801,6,0.025949367001885548234,,,
openmp_tile_list_parallel,801,7,0.0256668200017884373665,,,
openmp_tile_list_parallel,801,8,0.0258520119823515415192,,,
openmp_tile_list_parallel,801,9,0.0254819109977688640356,,,
openmp_tile_list_parallel,1001,0,0.0480097499967087060213,,,
openmp_tile_list_parallel,1001,1,0.0485920179926324635744,,,
openmp_tile_list_parallel,1001,2,0.0477865390130318701267,,,
openmp_tile_list_parallel,1001,3,0.0482791330141481012106,,,
openmp_tile_list_parallel,1001,4,0.0485086060070898383856,,,
openmp_tile_list_parallel,1001,5,0.048225459991954267025,,,
openmp_tile_list_parallel,1001,6,0.0484035349800251424313,,,
openmp_tile_list_parallel,1001,7,0.0481431149819400161505,,,
openmp_tile_list_parallel,1001,8,0.0487059339939150959253,,,
openmp_tile_list_parallel,1001,9,0.0486004750127904117107,,,
openmp_tile_list_parallel,1201,0,0.0812389259808696806431,,,
openmp_tile_list_parallel,1201,1,0.0819508059939835220575,,,
openmp_tile_list_parallel,1201,2,0.0817407080030534416437,,,
openmp_tile_list_parallel,1201,3,0.0816010199778247624636,,,
openmp_tile_list_parallel,1201,4,0.0822997819923330098391,,,
openmp_tile_list_parallel,1201,5,0.0817784680111799389124,,,
openmp_tile_list_parallel,1201,6,0.0825188359885942190886,,,
openmp_tile_list_parallel,1201,7,0.0816902350052259862423,,,
openmp_tile_list_parallel,1201,8,0.0818788920005317777395,,,
openmp_tile_list_parallel,1201,9,0.0813110419840086251497,,,
openmp_tile_list_parallel,1401,0,0.123941775993444025517,,,
openmp_tile_list_parallel,1401,1,0.12386517800041474402,,,
openmp_tile_list_parallel,1401,2,0.12394931999733671546,,,
openmp_tile_list_parallel,1401,3,0.124577167996903881431,,,
openmp_tile_list_parallel,1401,4,0.124570282991044223309,,,
openmp_tile_list_parallel,1401,5,0.124816308991285040975,,,
openmp_tile_list_parallel,1401,6,0.124779017001856118441,,,
openmp_tile_list_parallel,1401,7,0.123889046022668480873,,,
openmp_tile_list_parallel,1401,8,0.125388940999982878566,,,
openmp_tile_list_parallel,1401,9,0.123919884004862979054,,,
openmp_tile_list_parallel,1601,0,0.185587754996959120035,,,
openmp_tile_list_parallel,1601,1,0.18541341699892655015,,,
openmp_tile_list_parallel,1601,2,0.184552014019573107362,,,
openmp_tile_list_parallel,1601,3,0.185292530019069090486,,,
openmp_tile_list_parallel,1601,4,0.186181019002106040716,,,
openmp_tile_list_parallel,1601,5,0.185828091984149068594,,,
openmp_tile_list_parallel,1601,6,0.184920820000115782022,,,
openmp_tile_list_parallel,1601,7,0.184917714999755844474,,,
openmp_tile_list_parallel,1601,8,0.183343484008219093084,,,
openmp_tile_list_parallel,1601,9,0.183805292996112257242,,,
openmp_tile_list_parallel,1801,0,0.264107475988566875458,,,
openmp_tile_list_parallel,1801,1,0.264156826015096157789,,,
openmp_tile_list_parallel,1801,2,0.264961098000640049577,,,
openmp_tile_list_parallel,1801,3,0.265891324990661814809,,,
openmp_tile_list_parallel,1801,4,0.265055288997245952487,,,
openmp_tile_list_parallel,1801,5,0.265163167990976944566,,,
openmp_tile_list_parallel,1801,6,0.264078733016503974795,,,
openmp_tile_list_parallel,1801,7,0.263950926018878817558,,,
openmp_tile_list_parallel,1801,8,0.263216047984315082431,,,
openmp_tile_list_parallel,1801,9,0.263241362001281231642,,,
openmp_tile_list_parallel,2001,0,0.348291420988971367478,,,
openmp_tile_list_parallel,2001,1,0.349614276987267658114,,,
openmp_tile_list_parallel,2001,2,0.350328453001566231251,,,
openmp_tile_list_parallel,2001,3,0.351142666011583060026,,,
openmp_tile_list_parallel,2001,4,0.35086123101064004004,,,
openmp_tile_list_parallel,2001,5,0.350383876997511833906,,,
openmp_tile_list_parallel,2001,6,0.349463159014703705907,,,
openmp_tile_list_parallel,2001,7,0.351037302985787391663,,,
openmp_tile_list_parallel,2001,8,0.35135821401490829885,,,
openmp_tile_list_parallel,2001,9,0.349792855005944147706,,,
openmp_tile_list_parallel,2201,0,0.449455475987633690238,,,
openmp_tile_list_parallel,2201,1,0.449451010004850104451,,,
openmp_tile_list_parallel,2201,2,0.450000587996328249574,,,
openmp_tile_list_parallel,2201,3,0.449957197997719049454,,,
openmp_tile_list_parallel,2201,4,0.449842603004071861506,,,
openmp_tile_list_parallel,2201,5,0.449002550012664869428,,,
openmp_tile_list_parallel,2201,6,0.449728681007400155067,,,
openmp_tile_list_parallel,2201,7,0.449088278983253985643,,,
openmp_tile_list_parallel,2201,8,0.448442595981759950519,,,
openmp_tile_list_parallel,2201,9,0.449909315997501835227,,,
openmp_tile_list_parallel,2401,0,0.577275454998016357422,,,
openmp_tile_list_parallel,2401,1,0.578441601013764739037,,,
openmp_tile_list_parallel,2401,2,0.576611288997810333967,,,
openmp_tile_list_parallel,2401,3,0.577516991994343698025,,,
openmp_tile_list_parallel,2401,4,0.578148067987058311701,,,
openmp_tile_list_parallel,2401,5,0.579403698007808998227,,,
openmp_tile_list_parallel,2401,6,0.578824296011589467525,,,
openmp_tile_list_parallel,2401,7,0.577406787982909008861,,,
openmp_tile_list_parallel,2401,8,0.577519825019408017397,,,
openmp_tile_list_parallel,2401,9,0.577797055011615157127,,,
openmp_tile_list_parallel,2601,0,0.80568222000147216022,,,
openmp_tile_list_parallel,2601,1,0.802279614988947287202,,,
openmp_tile_list_parallel,2601,2,0.801868925016606226563,,,
openmp_tile_list_parallel,2601,3,0.803441540017956867814,,,
openmp_tile_list_parallel,2601,4,0.801716168003622442484,,,
openmp_tile_list_parallel,2601,5,0.790190744999563321471,,,
openmp_tile_list_parallel,2601,6,0.790317267994396388531,,,
openmp_tile_list_parallel,2601,7,0.800374723999993875623,,,
openmp_tile_list_parallel,2601,8,0.802154858974972739816,,,
openmp_tile_list_parallel,2601,9,0.800525752012617886066,,,
openmp_tile_list_parallel,2801,0,0.909922852995805442333,,,
openmp_tile_list_parallel,2801,1,0.909147575992392376065,,,
openmp_tile_list_parallel,2801,2,0.911635618016589432955,,,
openmp_tile_list_parallel,2801,3,0.910588747006841003895,,,
openmp_tile_list_parallel,2801,4,0.914943028008565306664,,,
openmp_tile_list_parallel,2801,5,0.916153146012220531702,,,
openmp_tile_list_parallel,2801,6,0.911688135005533695221,,,
openmp_tile_list_parallel,2801,7,0.911865936010144650936,,,
openmp_tile_list_parallel,2801,8,0.91415224099182523787,,,
openmp_tile_list_parallel,2801,9,0.908176598022691905499,,,
openmp_tile_list_parallel,3001,0,1.08794844499789178371,,,
openmp_tile_list_parallel,3001,1,1.09665222401963546872,,,
openmp_tile_list_parallel,3001,2,1.09634556400123983622,,,
openmp_tile_list_parallel,3001,3,1.09270758100319653749,,,
openmp_tile_list_parallel,3001,4,1.09242469500168226659,,,
openmp_tile_list_parallel,3001,5,1.0925473509996663779,,,
openmp_tile_list_parallel,3001,6,1.07389871697523631155,,,
openmp_tile_list_parallel,3001,7,1.09223422300419770181,,,
openmp_tile_list_parallel,3001,8,1.09416531401802785695,,,
openmp_tile_list_parallel,3001,9,1.09589246299583464861,,,
openmp_tile_list_parallel,3201,0,1.49173998099286109209,,,
openmp_tile_list_parallel,3201,1,1.49191531498217955232,,,
openmp_tile_list_parallel,3201,2,1.47772858300595544279,,,
openmp_tile_list_parallel,3201,3,1.49140973997418768704,,,
openmp_tile_list_parallel,3201,4,1.49385533298482187092,,,
openmp_tile_list_parallel,3201,5,1.49106432200642302632,,,
openmp_tile_list_parallel,3201,6,1.49606983902049250901,,,
openmp_tile_list_parallel,3201,7,1.49483900098130106926,,,
openmp_tile_list_parallel,3201,8,1.49544697301462292671,,,
openmp_tile_list_parallel,3201,9,1.49577509399387054145,,,
