method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_task_dag_blocked,1,0,1.03019992820918560028e-05,,,
openmp_task_dag_blocked,1,1,5.34098944626748561859e-06,,,
openmp_task_dag_blocked,1,2,1.08598032966256141663e-06,,,
openmp_task_dag_blocked,1,3,1.03199272416532039642e-06,,,
openmp_task_dag_blocked,1,4,1.04299397207796573639e-06,,,
openmp_task_dag_blocked,1,5,1.05501385405659675598e-06,,,
openmp_task_dag_blocked,1,6,9.93983121588826179504e-07,,,
openmp_task_dag_blocked,1,7,1.02099147625267505646e-06,,,
openmp_task_dag_blocked,1,8,9.86998202279210090637e-07,,,
openmp_task_dag_blocked,1,9,1.02000194601714611053e-06,,,
openmp_task_dag_blocked,201,0,0.000413195986766368150711,,,
openmp_task_dag_blocked,201,1,0.000463923002826049923897,,,
openmp_task_dag_blocked,201,2,0.000442649994511157274246,,,
openmp_task_dag_blocked,201,3,0.000427166000008583068848,,,
openmp_task_dag_blocked,201,4,0.000464167998870834708214,,,
openmp_task_dag_blocked,201,5,0.000426792015787214040756,,,
openmp_task_dag_blocked,201,6,0.000412622001022100448608,,,
openmp_task_dag_blocked,201,7,0.000426448998041450977325,,,
openmp_task_dag_blocked,201,8,0.000458260008599609136581,,,
openmp_task_dag_blocked,201,9,0.000426501006586477160454,,,
openmp_task_dag_blocked,401,0,0.0028194990009069442749,,,
openmp_task_dag_blocked,401,1,0.00285243999678641557693,,,
openmp_task_dag_blocked,401,2,0.00285820799763314425945,,,
openmp_task_dag_blocked,401,3,0.00287363599636591970921,,,
openmp_task_dag_blocked,401,4,0.0028346919862087816,,,
openmp_task_dag_blocked,401,5,0.00287265700171701610088,,,
openmp_task_dag_blocked,401,6,0.00287352700252085924149,,,
openmp_task_dag_blocked,401,7,0.00286895901081152260303,,,
openmp_task_dag_blocked,401,8,0.00287625199416652321815,,,
openmp_task_dag_blocked,401,9,0.00285972599522210657597,,,
openmp_task_dag_blocked,601,0,0.009496925020357593894,,,
openmp_task_dag_blocked,601,1,0.00936570600606501102448,,,
openmp_task_dag_blocked,601,2,0.00941455698921345174313,,,
openmp_task_dag_blocked,601,3,0.00935109399142675101757,,,
openmp_task_dag_blocked,601,4,0.00943282601656392216682,,,
openmp_task_dag_blocked,601,5,0.00945961198885925114155,,,
openmp_task_dag_blocked,601,6,0.00947526699746958911419,,,
openmp_task_dag_blocked,601,7,0.00962125201476737856865,,,
openmp_task_dag_blocked,601,8,0.00946106101037003099918,,,
openmp_task_dag_blocked,601,9,0.0097109249909408390522,,,
