method,n,threads,repeat,elapsed_seconds
openmp_row_parallel_unblocked,5000,1,0,10.52554488
openmp_row_parallel_unblocked,5000,1,1,10.41567489
openmp_row_parallel_unblocked,5000,1,2,10.51225338
openmp_row_parallel_unblocked,5000,1,3,10.41809587
openmp_row_parallel_unblocked,5000,1,4,10.4932747
openmp_row_parallel_unblocked,5000,2,0,7.099136734
openmp_row_parallel_unblocked,5000,2,1,7.077291087
openmp_row_parallel_unblocked,5000,2,2,7.100963642
openmp_row_parallel_unblocked,5000,2,3,7.080949225
openmp_row_parallel_unblocked,5000,2,4,7.099124083
openmp_row_parallel_unblocked,5000,3,0,4.86386202
openmp_row_parallel_unblocked,5000,3,1,4.876317111
openmp_row_parallel_unblocked,5000,3,2,4.864064414
openmp_row_parallel_unblocked,5000,3,3,4.870291761
openmp_row_parallel_unblocked,5000,3,4,4.861548069
openmp_row_parallel_unblocked,5000,4,0,3.816057446
openmp_row_parallel_unblocked,5000,4,1,3.800686741
openmp_row_parallel_unblocked,5000,4,2,3.815578031
openmp_row_parallel_unblocked,5000,4,3,3.805054234
openmp_row_parallel_unblocked,5000,4,4,3.815865181
openmp_row_parallel_unblocked,5000,5,0,3.289005111
openmp_row_parallel_unblocked,5000,5,1,3.306101057
openmp_row_parallel_unblocked,5000,5,2,3.288049267
openmp_row_parallel_unblocked,5000,5,3,3.306528113
openmp_row_parallel_unblocked,5000,5,4,3.287105683
openmp_row_parallel_unblocked,5000,6,0,2.753099438
openmp_row_parallel_unblocked,5000,6,1,2.74054866
openmp_row_parallel_unblocked,5000,6,2,2.754857659
openmp_row_parallel_unblocked,5000,6,3,2.747118257
openmp_row_parallel_unblocked,5000,6,4,2.757555915
openmp_row_parallel_unblocked,5000,7,0,2.526908777
openmp_row_parallel_unblocked,5000,7,1,2.539949654
openmp_row_parallel_unblocked,5000,7,2,2.526275703
openmp_row_parallel_unblocked,5000,7,3,2.540450776
openmp_row_parallel_unblocked,5000,7,4,2.526355574
openmp_row_parallel_unblocked,5000,8,0,2.28582917
openmp_row_parallel_unblocked,5000,8,1,2.27675049
openmp_row_parallel_unblocked,5000,8,2,2.286541774
openmp_row_parallel_unblocked,5000,8,3,2.275103292
openmp_row_parallel_unblocked,5000,8,4,2.287583458
openmp_row_parallel_unblocked,5000,9,0,2.163565894
openmp_row_parallel_unblocked,5000,9,1,2.175768747
openmp_row_parallel_unblocked,5000,9,2,2.163584568
openmp_row_parallel_unblocked,5000,9,3,2.175445314
openmp_row_parallel_unblocked,5000,9,4,2.16339945
openmp_row_parallel_unblocked,5000,10,0,2.028685735
openmp_row_parallel_unblocked,5000,10,1,2.018419307
openmp_row_parallel_unblocked,5000,10,2,2.028267142
openmp_row_parallel_unblocked,5000,10,3,2.018085384
openmp_row_parallel_unblocked,5000,10,4,2.028578061
openmp_row_parallel_unblocked,5000,11,0,2.036522363
openmp_row_parallel_unblocked,5000,11,1,2.052671738
openmp_row_parallel_unblocked,5000,11,2,2.0367788
openmp_row_parallel_unblocked,5000,11,3,2.055445226
openmp_row_parallel_unblocked,5000,11,4,2.036516578
openmp_row_parallel_unblocked,5000,12,0,1.83254328
openmp_row_parallel_unblocked,5000,12,1,1.822143025
openmp_row_parallel_unblocked,5000,12,2,1.832360421
openmp_row_parallel_unblocked,5000,12,3,1.821512322
openmp_row_parallel_unblocked,5000,12,4,1.832214966
openmp_row_parallel_unblocked,5000,13,0,1.853668083
openmp_row_parallel_unblocked,5000,13,1,1.867946687
openmp_row_parallel_unblocked,5000,13,2,1.853432629
openmp_row_parallel_unblocked,5000,13,3,1.868209408
openmp_row_parallel_unblocked,5000,13,4,1.854036082
openmp_row_parallel_unblocked,5000,14,0,1.805507586
openmp_row_parallel_unblocked,5000,14,1,1.789984376
openmp_row_parallel_unblocked,5000,14,2,1.806016512
openmp_row_parallel_unblocked,5000,14,3,1.78926707
openmp_row_parallel_unblocked,5000,14,4,1.808320108
openmp_row_parallel_unblocked,5000,15,0,1.750419749
openmp_row_parallel_unblocked,5000,15,1,1.768241157
openmp_row_parallel_unblocked,5000,15,2,1.74983252
openmp_row_parallel_unblocked,5000,15,3,1.768600224
openmp_row_parallel_unblocked,5000,15,4,1.750778286
openmp_row_parallel_unblocked,5000,16,0,1.588899274
openmp_row_parallel_unblocked,5000,16,1,1.573701171
openmp_row_parallel_unblocked,5000,16,2,1.588975406
openmp_row_parallel_unblocked,5000,16,3,1.572443578
openmp_row_parallel_unblocked,5000,16,4,1.589087272
openmp_row_parallel_unblocked,5000,17,0,1.625657343
openmp_row_parallel_unblocked,5000,17,1,1.644251163
openmp_row_parallel_unblocked,5000,17,2,1.624903522
openmp_row_parallel_unblocked,5000,17,3,1.644716192
openmp_row_parallel_unblocked,5000,17,4,1.62505613
openmp_row_parallel_unblocked,5000,18,0,1.615179076
openmp_row_parallel_unblocked,5000,18,1,1.596383063
openmp_row_parallel_unblocked,5000,18,2,1.61566107
openmp_row_parallel_unblocked,5000,18,3,1.5958441
openmp_row_parallel_unblocked,5000,18,4,1.615829879
openmp_row_parallel_unblocked,5000,19,0,1.444681405
openmp_row_parallel_unblocked,5000,19,1,1.464574926
openmp_row_parallel_unblocked,5000,19,2,1.445734449
openmp_row_parallel_unblocked,5000,19,3,1.464568645
openmp_row_parallel_unblocked,5000,19,4,1.445292394
openmp_row_parallel_unblocked,5000,20,0,1.523083353
openmp_row_parallel_unblocked,5000,20,1,1.502323071
openmp_row_parallel_unblocked,5000,20,2,1.522052615
openmp_row_parallel_unblocked,5000,20,3,1.502489686
openmp_row_parallel_unblocked,5000,20,4,1.522620765
openmp_row_parallel_unblocked,5000,21,0,1.525882799
openmp_row_parallel_unblocked,5000,21,1,1.543449489
openmp_row_parallel_unblocked,5000,21,2,1.527528647
openmp_row_parallel_unblocked,5000,21,3,1.545119993
openmp_row_parallel_unblocked,5000,21,4,1.526147539
openmp_row_parallel_unblocked,5000,22,0,1.3651493
openmp_row_parallel_unblocked,5000,22,1,1.343852414
openmp_row_parallel_unblocked,5000,22,2,1.363173358
openmp_row_parallel_unblocked,5000,22,3,1.343376094
