method,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp_tile_list_parallel,1,0,0.0002607050046208,,,,
openmp_tile_list_parallel,1,1,2.4206005036830905e-05,,,,
openmp_tile_list_parallel,1,2,2.923899592133239e-05,,,,
openmp_tile_list_parallel,1,3,2.6559006073512137e-05,,,,
openmp_tile_list_parallel,1,4,2.4020002456381917e-05,,,,
openmp_tile_list_parallel,1,5,2.468700404278934e-05,,,,
openmp_tile_list_parallel,1,6,2.6901994715444744e-05,,,,
openmp_tile_list_parallel,1,7,2.6379006158094853e-05,,,,
openmp_tile_list_parallel,1,8,2.3615000827703625e-05,,,,
openmp_tile_list_parallel,1,9,2.4545995984226465e-05,,,,
openmp_tile_list_parallel,100,0,0.0002781539951683,,,,
openmp_tile_list_parallel,100,1,0.0001354039995931,,,,
openmp_tile_list_parallel,100,2,0.0001370660029351,,,,
openmp_tile_list_parallel,100,3,0.0001396700026816,,,,
openmp_tile_list_parallel,100,4,0.0001234340015798,,,,
openmp_tile_list_parallel,100,5,6.0363992815837264e-05,,,,
openmp_tile_list_parallel,100,6,5.857200449099764e-05,,,,
openmp_tile_list_parallel,100,7,5.76819948037155e-05,,,,
openmp_tile_list_parallel,100,8,5.780499486718326e-05,,,,
openmp_tile_list_parallel,100,9,5.540099664358422e-05,,,,
openmp_tile_list_parallel,500,0,0.0107244630053173,,,,
openmp_tile_list_parallel,500,1,0.0099787469953298,,,,
openmp_tile_list_parallel,500,2,0.0103964699956122,,,,
openmp_tile_list_parallel,500,3,0.010884597999393,,,,
openmp_tile_list_parallel,500,4,0.0108431979970191,,,,
openmp_tile_list_parallel,500,5,0.0103753820003475,,,,
openmp_tile_list_parallel,500,6,0.0108638929959852,,,,
openmp_tile_list_parallel,500,7,0.0108314710014383,,,,
openmp_tile_list_parallel,500,8,0.0108219839967205,,,,
openmp_tile_list_parallel,500,9,0.0104317250006715,,,,
openmp_tile_list_parallel,1000,0,0.0482381490000989,,,,
openmp_tile_list_parallel,1000,1,0.0485658410034375,,,,
openmp_tile_list_parallel,1000,2,0.0487907930000801,,,,
openmp_tile_list_parallel,1000,3,0.0490854079980636,,,,
openmp_tile_list_parallel,1000,4,0.0477459690009709,,,,
openmp_tile_list_parallel,1000,5,0.0508002279966603,,,,
openmp_tile_list_parallel,1000,6,0.0482894529995974,,,,
openmp_tile_list_parallel,1000,7,0.0485124219994759,,,,
openmp_tile_list_parallel,1000,8,0.0519593649951275,,,,
openmp_tile_list_parallel,1000,9,0.0494018469980801,,,,
openmp_tile_list_parallel,2000,0,0.2107635970023693,,,,
openmp_tile_list_parallel,2000,1,0.2072069170026225,,,,
openmp_tile_list_parallel,2000,2,0.2068899229998351,,,,
openmp_tile_list_parallel,2000,3,0.2023272439982974,,,,
openmp_tile_list_parallel,2000,4,0.2007633519970113,,,,
openmp_tile_list_parallel,2000,5,0.2065408600028604,,,,
openmp_tile_list_parallel,2000,6,0.2104438210008083,,,,
openmp_tile_list_parallel,2000,7,0.206438191999041,,,,
openmp_tile_list_parallel,2000,8,0.2033486849977634,,,,
openmp_tile_list_parallel,2000,9,0.2032592909963568,,,,
openmp_tile_list_parallel,5000,0,1.8108046730000067,,39118.45229417509,39118.45229417509,3.814414061873293e-16
openmp_tile_list_parallel,10000,0,0.8694260429983842,,85170.90017818294,85170.90017818294,1.0011063416358397e-16
openmp_tile_list_parallel,10000,0,7.011587909000809,,,,
openmp_tile_list_parallel,10000,1,7.003226832996006,,,,
openmp_tile_list_parallel,10000,2,6.997463034000248,,,,
openmp_tile_list_parallel,10000,3,7.001803563995054,,,,
openmp_tile_list_parallel,10000,4,6.969888474006439,,,,
openmp_tile_list_parallel,10000,5,6.980313077001483,,,,
openmp_tile_list_parallel,10000,6,6.980149452996557,,,,
openmp_tile_list_parallel,10000,7,6.998076259988011,,,,
openmp_tile_list_parallel,10000,8,6.969788521993905,,,,
openmp_tile_list_parallel,10000,9,6.957012945000315,,,,
openmp_tile_list_parallel,20000,0,38.235649955999634,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_tile_list_parallel,20000,1,40.00156499532907,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_tile_list_parallel,20000,2,37.87356997659906,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_tile_list_parallel,30000,0,123.72641925700007,,,,
openmp_tile_list_parallel,50000,0,538.9488921089996,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_tile_list_parallel,50000,1,539.5688929023397,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_tile_list_parallel,50000,2,538.4458318083499,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_tile_list_parallel,60000,0,773.456936779,,,,
openmp_tile_list_parallel,80000,0,1999.8715479819948,,,,
openmp_tile_list_parallel,100000,0,3833.1909347579926,,,,
