tag,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
lower_triangle,100,0,6.21250073891133069992e-05,unavailable,unavailable,unavailable
lower_triangle,100,1,7.9539997386746108532e-05,unavailable,unavailable,unavailable
lower_triangle,100,2,5.92430005781352519989e-05,unavailable,unavailable,unavailable
lower_triangle,500,0,0.00869412400061264634132,unavailable,unavailable,unavailable
lower_triangle,500,1,0.00866232399130240082741,unavailable,unavailable,unavailable
lower_triangle,500,2,0.0086451809911523014307,unavailable,unavailable,unavailable
lower_triangle,1000,0,0.0699138179916189983487,unavailable,unavailable,unavailable
lower_triangle,1000,1,0.0699790320068132132292,unavailable,unavailable,unavailable
lower_triangle,1000,2,0.0699449289968470111489,unavailable,unavailable,unavailable
lower_triangle,1500,0,0.27243383000313770026,unavailable,unavailable,unavailable
lower_triangle,1500,1,0.272969775993260554969,unavailable,unavailable,unavailable
lower_triangle,1500,2,0.272620379008003510535,unavailable,unavailable,unavailable
lower_triangle,2000,0,0.896933476004051044583,unavailable,unavailable,unavailable
lower_triangle,2000,1,0.896597147002466954291,unavailable,unavailable,unavailable
lower_triangle,2000,2,0.896500041999388486147,unavailable,unavailable,unavailable
lower_triangle,2500,0,1.36368469499575439841,unavailable,unavailable,unavailable
lower_triangle,2500,1,1.36337648899643681943,unavailable,unavailable,unavailable
lower_triangle,2500,2,1.3639883930009091273,unavailable,unavailable,unavailable
lower_triangle,3000,0,2.34619128699705470353,unavailable,unavailable,unavailable
lower_triangle,3000,1,2.34973265099688433111,unavailable,unavailable,unavailable
lower_triangle,3000,2,2.34817573799227830023,unavailable,unavailable,unavailable
lower_triangle,3500,0,3.78168517700396478176,unavailable,unavailable,unavailable
lower_triangle,3500,1,3.79764419099956285208,unavailable,unavailable,unavailable
lower_triangle,3500,2,3.78051297800266183913,unavailable,unavailable,unavailable
lower_triangle,4000,0,9.96239419800986070186,unavailable,unavailable,unavailable
lower_triangle,4000,1,9.94523187899903859943,unavailable,unavailable,unavailable
lower_triangle,4000,2,9.96206163500028196722,unavailable,unavailable,unavailable
lower_triangle,4500,0,9.33624219099874608219,unavailable,unavailable,unavailable
lower_triangle,4500,1,9.38009849601075984538,unavailable,unavailable,unavailable
lower_triangle,4500,2,9.34757604000333230942,unavailable,unavailable,unavailable
lower_triangle,5000,0,13.7269961660058470443,unavailable,unavailable,unavailable
lower_triangle,5000,1,13.7111271280009532347,unavailable,unavailable,unavailable
lower_triangle,5000,2,13.7565104820096166804,unavailable,unavailable,unavailable
