optimisation,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_block_row_parallel,5000,1,0,4.08342160002212040126,,,
openmp_block_row_parallel,5000,1,1,4.14129794799373485148,,,
openmp_block_row_parallel,5000,1,2,4.11646417799056507647,,,
openmp_block_row_parallel,5000,1,3,4.1202438760083168745,,,
openmp_block_row_parallel,5000,1,4,4.13645529199857264757,,,
openmp_block_row_parallel,5000,1,5,4.12626505800290033221,,,
openmp_block_row_parallel,5000,1,6,4.10401440301211550832,,,
openmp_block_row_parallel,5000,1,7,4.11091048698290251195,,,
openmp_block_row_parallel,5000,1,8,4.110641014005523175,,,
openmp_block_row_parallel,5000,1,9,4.11799871502444148064,,,
openmp_block_row_parallel,5000,2,0,1.37366612898767925799,,,
openmp_block_row_parallel,5000,2,1,1.38591682602418586612,,,
openmp_block_row_parallel,5000,2,2,1.37339002601220272481,,,
openmp_block_row_parallel,5000,2,3,1.39904301200294867158,,,
openmp_block_row_parallel,5000,2,4,1.38533971700235269964,,,
openmp_block_row_parallel,5000,2,5,1.38811674300814047456,,,
openmp_block_row_parallel,5000,2,6,1.38122341100824996829,,,
openmp_block_row_parallel,5000,2,7,1.38451373300631530583,,,
openmp_block_row_parallel,5000,2,8,1.40428163998876698315,,,
openmp_block_row_parallel,5000,2,9,1.38694437401136383414,,,
openmp_block_row_parallel,5000,3,0,0.907725958997616544366,,,
openmp_block_row_parallel,5000,3,1,0.909434339992003515363,,,
openmp_block_row_parallel,5000,3,2,0.910668031021486967802,,,
openmp_block_row_parallel,5000,3,3,0.920500306005124002695,,,
openmp_block_row_parallel,5000,3,4,0.921566208999138325453,,,
openmp_block_row_parallel,5000,3,5,0.917666388006182387471,,,
openmp_block_row_parallel,5000,3,6,0.906259092997061088681,,,
openmp_block_row_parallel,5000,3,7,0.919712664996040984988,,,
openmp_block_row_parallel,5000,3,8,0.912171941017732024193,,,
openmp_block_row_parallel,5000,3,9,0.913844099006382748485,,,
openmp_block_row_parallel,5000,4,0,0.67474704602500423789,,,
openmp_block_row_parallel,5000,4,1,0.663051392999477684498,,,
openmp_block_row_parallel,5000,4,2,0.667909048002911731601,,,
openmp_block_row_parallel,5000,4,3,0.670607059000758454204,,,
openmp_block_row_parallel,5000,4,4,0.660244251019321382046,,,
openmp_block_row_parallel,5000,4,5,0.667060688982019200921,,,
openmp_block_row_parallel,5000,4,6,0.665853547019651159644,,,
