method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
lower_triangle,1,0,6.03002263233065605164e-07,,,
lower_triangle,1,1,6.39993231743574142456e-08,,,
lower_triangle,1,2,3.60014382749795913696e-08,,,
lower_triangle,1,3,5.00003807246685028076e-08,,,
lower_triangle,1,4,5.00003807246685028076e-08,,,
lower_triangle,1,5,3.69909685105085372925e-08,,,
lower_triangle,1,6,4.79922164231538772583e-08,,,
lower_triangle,1,7,3.20142135024070739746e-08,,,
lower_triangle,1,8,4.89817466586828231812e-08,,,
lower_triangle,1,9,3.69909685105085372925e-08,,,
lower_triangle,201,0,0.000459069997305050492287,,,
lower_triangle,201,1,0.000467802979983389377594,,,
lower_triangle,201,2,0.00045660199248231947422,,,
lower_triangle,201,3,0.000454210996394976973534,,,
lower_triangle,201,4,0.000458399998024106025696,,,
lower_triangle,201,5,0.000448892009444534778595,,,
lower_triangle,201,6,0.000446038990048691630363,,,
lower_triangle,201,7,0.000451255007646977901459,,,
lower_triangle,201,8,0.000448832986876368522644,,,
lower_triangle,201,9,0.00044152999180369079113,,,
lower_triangle,401,0,0.00469933499698527157307,,,
lower_triangle,401,1,0.0044766810024157166481,,,
lower_triangle,401,2,0.00443227399955503642559,,,
lower_triangle,401,3,0.00461124500725418329239,,,
lower_triangle,401,4,0.00469117698958143591881,,,
lower_triangle,401,5,0.00472953601274639368057,,,
lower_triangle,401,6,0.00473035601316951215267,,,
lower_triangle,401,7,0.004596615995978936553,,,
lower_triangle,401,8,0.00447076599812135100365,,,
lower_triangle,401,9,0.00439854798605665564537,,,
lower_triangle,601,0,0.0157119370123837143183,,,
lower_triangle,601,1,0.0163668100140057504177,,,
lower_triangle,601,2,0.0157235209771897643805,,,
lower_triangle,601,3,0.0158367090043611824512,,,
lower_triangle,601,4,0.0163731799984816461802,,,
lower_triangle,601,5,0.0158473889750894159079,,,
lower_triangle,601,6,0.015770641999552026391,,,
lower_triangle,601,7,0.0159188449906650930643,,,
lower_triangle,601,8,0.0157899630139581859112,,,
lower_triangle,601,9,0.0163214520143810659647,,,
lower_triangle,801,0,0.0391991700162179768085,,,
lower_triangle,801,1,0.039209857000969350338,,,
lower_triangle,801,2,0.039100238005630671978,,,
lower_triangle,801,3,0.0387921299843583256006,,,
lower_triangle,801,4,0.0392454899847507476807,,,
lower_triangle,801,5,0.0401526529749389737844,,,
lower_triangle,801,6,0.0394744929799344390631,,,
lower_triangle,801,7,0.0388773659942671656609,,,
lower_triangle,801,8,0.0389089189993683248758,,,
lower_triangle,801,9,0.0392974209971725940704,,,
lower_triangle,1001,0,0.0778430630161892622709,,,
lower_triangle,1001,1,0.0775974179850891232491,,,
lower_triangle,1001,2,0.0770229089830536395311,,,
lower_triangle,1001,3,0.077757405000738799572,,,
lower_triangle,1001,4,0.0774212559917941689491,,,
lower_triangle,1001,5,0.0785126519913319498301,,,
lower_triangle,1001,6,0.0772438840067479759455,,,
lower_triangle,1001,7,0.0782339190191123634577,,,
lower_triangle,1001,8,0.0776453860162291675806,,,
lower_triangle,1001,9,0.0778387520113028585911,,,
lower_triangle,1201,0,0.143594590976135805249,,,
lower_triangle,1201,1,0.142727403988828882575,,,
lower_triangle,1201,2,0.142009153001708909869,,,
lower_triangle,1201,3,0.140571046009426936507,,,
lower_triangle,1201,4,0.140740376024041324854,,,
lower_triangle,1201,5,0.140759889996843412519,,,
lower_triangle,1201,6,0.140054923977004364133,,,
lower_triangle,1201,7,0.140302102983696386218,,,
lower_triangle,1201,8,0.139792138012126088142,,,
lower_triangle,1201,9,0.139906910975696519017,,,
lower_triangle,1401,0,0.229610456008231267333,,,
lower_triangle,1401,1,0.229536082013510167599,,,
lower_triangle,1401,2,0.229936520016053691506,,,
lower_triangle,1401,3,0.229788105003535747528,,,
lower_triangle,1401,4,0.229765248979674652219,,,
lower_triangle,1401,5,0.229844226007116958499,,,
lower_triangle,1401,6,0.229142279014922678471,,,
lower_triangle,1401,7,0.229733479995047673583,,,
lower_triangle,1401,8,0.229402332013705745339,,,
lower_triangle,1401,9,0.228994813980534672737,,,
lower_triangle,1601,0,0.357523951999610289931,,,
lower_triangle,1601,1,0.35864704701816663146,,,
lower_triangle,1601,2,0.357237477990565821528,,,
lower_triangle,1601,3,0.357417902996530756354,,,
lower_triangle,1601,4,0.357060506008565425873,,,
lower_triangle,1601,5,0.35699379400466568768,,,
lower_triangle,1601,6,0.35813459698692895472,,,
lower_triangle,1601,7,0.357715563004603609443,,,
