method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
cache_blocked_2,100,0,7.99630070105195045471e-05,unavailable,unavailable,unavailable
cache_blocked_2,100,1,9.5989991677924990654e-05,unavailable,unavailable,unavailable
cache_blocked_2,100,2,9.62219928624108433723e-05,unavailable,unavailable,unavailable
cache_blocked_2,500,0,0.00838264900085050612688,unavailable,unavailable,unavailable
cache_blocked_2,500,1,0.00852088199462741613388,unavailable,unavailable,unavailable
cache_blocked_2,500,2,0.00840096900356002151966,unavailable,unavailable,unavailable
cache_blocked_2,1000,0,0.0664734530000714585185,unavailable,unavailable,unavailable
cache_blocked_2,1000,1,0.066722498988383449614,unavailable,unavailable,unavailable
cache_blocked_2,1000,2,0.0667040049884235486388,unavailable,unavailable,unavailable
cache_blocked_2,1500,0,0.222759105003206059337,unavailable,unavailable,unavailable
cache_blocked_2,1500,1,0.222750278990133665502,unavailable,unavailable,unavailable
cache_blocked_2,1500,2,0.222704589992645196617,unavailable,unavailable,unavailable
cache_blocked_2,2000,0,0.526876211006310768425,unavailable,unavailable,unavailable
cache_blocked_2,2000,1,0.526415918997372500598,unavailable,unavailable,unavailable
cache_blocked_2,2000,2,0.526484764995984733105,unavailable,unavailable,unavailable
cache_blocked_2,2500,0,1.02349342699744738638,unavailable,unavailable,unavailable
cache_blocked_2,2500,1,1.02344784999149851501,unavailable,unavailable,unavailable
cache_blocked_2,2500,2,1.02342547998705413193,unavailable,unavailable,unavailable
cache_blocked_2,3000,0,1.76389946900599170476,unavailable,unavailable,unavailable
cache_blocked_2,3000,1,1.76418938300048466772,unavailable,unavailable,unavailable
cache_blocked_2,3000,2,1.76406475600379053503,unavailable,unavailable,unavailable
cache_blocked_2,3500,0,2.80168337200302630663,unavailable,unavailable,unavailable
cache_blocked_2,3500,1,2.80200479998893570155,unavailable,unavailable,unavailable
cache_blocked_2,3500,2,2.80187776299135293812,unavailable,unavailable,unavailable
cache_blocked_2,4000,0,4.06041606800863519311,unavailable,unavailable,unavailable
cache_blocked_2,4000,1,4.06052701600128784776,unavailable,unavailable,unavailable
cache_blocked_2,4000,2,4.06613611600187141448,unavailable,unavailable,unavailable
cache_blocked_2,4500,0,5.93506876399624161422,unavailable,unavailable,unavailable
cache_blocked_2,4500,1,5.9343460819945903495,unavailable,unavailable,unavailable
cache_blocked_2,4500,2,5.93521402399346698076,unavailable,unavailable,unavailable
cache_blocked_2,5000,0,8.17060555300849955529,unavailable,unavailable,unavailable
cache_blocked_2,5000,1,8.1903404070035321638,unavailable,unavailable,unavailable
cache_blocked_2,5000,2,8.17112749500665813684,unavailable,unavailable,unavailable
