optimisation,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_tile_parallel_blocked,5000,1,0,2.50121854600729420781,,,
openmp_tile_parallel_blocked,5000,1,1,2.50543999997898936272,,,
openmp_tile_parallel_blocked,5000,1,2,2.56151946602039970458,,,
openmp_tile_parallel_blocked,5000,1,3,2.52349482499994337559,,,
openmp_tile_parallel_blocked,5000,1,4,2.51262893999228253961,,,
openmp_tile_parallel_blocked,5000,1,5,2.54623390999040566385,,,
openmp_tile_parallel_blocked,5000,1,6,2.50070566698559559882,,,
openmp_tile_parallel_blocked,5000,1,7,2.50483692399575375021,,,
openmp_tile_parallel_blocked,5000,1,8,2.51320203201612457633,,,
openmp_tile_parallel_blocked,5000,1,9,2.50283212499925866723,,,
openmp_tile_parallel_blocked,5000,2,0,0.824059864971786737442,,,
openmp_tile_parallel_blocked,5000,2,1,0.823385119991144165397,,,
openmp_tile_parallel_blocked,5000,2,2,0.823095027997624129057,,,
openmp_tile_parallel_blocked,5000,2,3,0.823237356991739943624,,,
openmp_tile_parallel_blocked,5000,2,4,0.82812036902760155499,,,
openmp_tile_parallel_blocked,5000,2,5,0.825888127001235261559,,,
openmp_tile_parallel_blocked,5000,2,6,0.828425585990771651268,,,
openmp_tile_parallel_blocked,5000,2,7,0.827993273996980860829,,,
openmp_tile_parallel_blocked,5000,2,8,0.826245720003498718143,,,
openmp_tile_parallel_blocked,5000,2,9,0.82476923998910933733,,,
openmp_tile_parallel_blocked,5000,3,0,0.559616631013341248035,,,
openmp_tile_parallel_blocked,5000,3,1,0.560427869000704959035,,,
openmp_tile_parallel_blocked,5000,3,2,0.559177530987653881311,,,
openmp_tile_parallel_blocked,5000,3,3,0.559104751999257132411,,,
openmp_tile_parallel_blocked,5000,3,4,0.560060297983000054955,,,
openmp_tile_parallel_blocked,5000,3,5,0.563037287996849045157,,,
openmp_tile_parallel_blocked,5000,3,6,0.560769803996663540602,,,
openmp_tile_parallel_blocked,5000,3,7,0.560329959989758208394,,,
openmp_tile_parallel_blocked,5000,3,8,0.567356607993133366108,,,
openmp_tile_parallel_blocked,5000,3,9,0.56570949900196865201,,,
openmp_tile_parallel_blocked,5000,4,0,0.400732414011145010591,,,
openmp_tile_parallel_blocked,5000,4,1,0.401590126013616099954,,,
openmp_tile_parallel_blocked,5000,4,2,0.400233882974134758115,,,
openmp_tile_parallel_blocked,5000,4,3,0.399269924993859604001,,,
openmp_tile_parallel_blocked,5000,4,4,0.400317597988760098815,,,
openmp_tile_parallel_blocked,5000,4,5,0.400923813984263688326,,,
openmp_tile_parallel_blocked,5000,4,6,0.402346861985279247165,,,
openmp_tile_parallel_blocked,5000,4,7,0.454306322993943467736,,,
openmp_tile_parallel_blocked,5000,4,8,0.495418669015634804964,,,
openmp_tile_parallel_blocked,5000,4,9,0.401077706017531454563,,,
openmp_tile_parallel_blocked,5000,5,0,0.348926345992367714643,,,
openmp_tile_parallel_blocked,5000,5,1,0.352784005022840574384,,,
openmp_tile_parallel_blocked,5000,5,2,0.352999785012798383832,,,
openmp_tile_parallel_blocked,5000,5,3,0.348577869997825473547,,,
openmp_tile_parallel_blocked,5000,5,4,0.348686676996294409037,,,
openmp_tile_parallel_blocked,5000,5,5,0.349180479999631643295,,,
openmp_tile_parallel_blocked,5000,5,6,0.351997242978541180491,,,
openmp_tile_parallel_blocked,5000,5,7,0.34779642400098964572,,,
openmp_tile_parallel_blocked,5000,5,8,0.347487734019523486495,,,
openmp_tile_parallel_blocked,5000,5,9,0.349047786003211513162,,,
openmp_tile_parallel_blocked,5000,6,0,0.303366792999440804124,,,
openmp_tile_parallel_blocked,5000,6,1,0.301313251984538510442,,,
openmp_tile_parallel_blocked,5000,6,2,0.306576981005491688848,,,
openmp_tile_parallel_blocked,5000,6,3,0.305915764998644590378,,,
openmp_tile_parallel_blocked,5000,6,4,0.310615306021645665169,,,
openmp_tile_parallel_blocked,5000,6,5,0.304330834012944251299,,,
openmp_tile_parallel_blocked,5000,6,6,0.310228699003346264362,,,
openmp_tile_parallel_blocked,5000,6,7,0.30613288399763405323,,,
openmp_tile_parallel_blocked,5000,6,8,0.310307983978418633342,,,
openmp_tile_parallel_blocked,5000,6,9,0.307741559983696788549,,,
openmp_tile_parallel_blocked,5000,7,0,0.285174101998563855886,,,
openmp_tile_parallel_blocked,5000,7,1,0.284009241993771865964,,,
openmp_tile_parallel_blocked,5000,7,2,0.28516711099655367434,,,
openmp_tile_parallel_blocked,5000,7,3,0.286214767023921012878,,,
