method,n,elapsed_median,elapsed_mean,elapsed_error
baseline,100,0.000197248999029397964478,0.000189832334096233040993,1.23647084716021602618e-05
baseline,500,0.0380052179971244186163,0.0379907599951062949217,4.73668728375393533782e-05
baseline,1000,0.424865555993164889514,0.424825637999068306261,0.000554561495798550833751
baseline,1500,1.44044455299444962293,1.4409619013361709694,0.000977192786254498348478
baseline,2000,4.78869913099333643913,4.78989386733155697584,0.00186873252842503648555
baseline,2500,6.7474992080096853897,6.7478265133346821969,0.000834508153633501293008
baseline,3000,12.3201848739990964532,12.3008869336675470407,0.0435231929276238896365
baseline,3500,21.3127356689947191626,21.3218064883355218342,0.0333076967806302734476
baseline,4000,60.8606510629906551912,60.8440180373339316588,0.0312978769998131720054
baseline,4500,51.9281857570022111759,51.8848168323359786314,0.0861958375467037074547
baseline,5000,70.8339729970030020922,70.8453551650018198416,0.016476926684493048425
