method,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_task_dag_blocked,5000,16,0,129.12532287900000938,,,
openmp_task_dag_blocked,5000,16,1,128.094527832000011358,,,
openmp_task_dag_blocked,5000,16,2,128.362514146000023629,,,
openmp_task_dag_blocked,5000,17,0,108.146289693999960946,,,
openmp_task_dag_blocked,5000,17,1,106.786159577000034915,,,
openmp_task_dag_blocked,5000,17,2,105.531823317000089446,,,
openmp_task_dag_blocked,5000,18,0,90.9109652809999033707,,,
openmp_task_dag_blocked,5000,18,1,88.3915170249999846419,,,
openmp_task_dag_blocked,5000,18,2,89.6055876190000617498,,,
openmp_task_dag_blocked,5000,19,0,76.2188587420000658312,,,
openmp_task_dag_blocked,5000,19,1,75.3463898679999601882,,,
openmp_task_dag_blocked,5000,19,2,76.0807995810000647907,,,
openmp_task_dag_blocked,5000,20,0,64.99468107500001679,,,
openmp_task_dag_blocked,5000,20,1,64.8052252360000693443,,,
openmp_task_dag_blocked,5000,20,2,65.7233161660001314885,,,
openmp_task_dag_blocked,5000,21,0,56.346707464999781223,,,
openmp_task_dag_blocked,5000,21,1,55.9245984239998961129,,,
openmp_task_dag_blocked,5000,21,2,56.021920736000083707,,,
openmp_task_dag_blocked,5000,22,0,48.780174658000078125,,,
openmp_task_dag_blocked,5000,22,1,48.762889956999970309,,,
openmp_task_dag_blocked,5000,22,2,48.4640783320000991807,,,
openmp_task_dag_blocked,5000,23,0,42.3277897140001186926,,,
openmp_task_dag_blocked,5000,23,1,43.1117844579998745758,,,
openmp_task_dag_blocked,5000,23,2,42.6344867600000725361,,,
openmp_task_dag_blocked,5000,24,0,37.6491149089999908028,,,
openmp_task_dag_blocked,5000,24,1,42.4356808099998943362,,,
openmp_task_dag_blocked,5000,24,2,37.466956473999971422,,,
openmp_task_dag_blocked,5000,25,0,32.5519583780001084961,,,
openmp_task_dag_blocked,5000,25,1,32.761101650000000518,,,
openmp_task_dag_blocked,5000,25,2,32.2371520480000981479,,,
openmp_task_dag_blocked,5000,26,0,29.3785156069998265593,,,
openmp_task_dag_blocked,5000,26,1,29.3626069679999091022,,,
openmp_task_dag_blocked,5000,26,2,29.9070969849999528378,,,
openmp_task_dag_blocked,5000,27,0,25.5052013019999321841,,,
