method,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp_block_row_parallel,1,0,1.2900272849947214e-07,,,,
openmp_block_row_parallel,1,1,5.90007402934134e-08,,,,
openmp_block_row_parallel,1,2,4.8006768338382244e-08,,,,
openmp_block_row_parallel,1,3,5.800393410027027e-08,,,,
openmp_block_row_parallel,1,4,6.199843483045697e-08,,,,
openmp_block_row_parallel,1,5,4.900357453152538e-08,,,,
openmp_block_row_parallel,1,6,1.2799864634871483e-07,,,,
openmp_block_row_parallel,1,7,8.60018189996481e-08,,,,
openmp_block_row_parallel,1,8,2.4300243239849806e-07,,,,
openmp_block_row_parallel,1,9,1.770022208802402e-07,,,,
openmp_block_row_parallel,100,0,4.957600322086364e-05,,,,
openmp_block_row_parallel,100,1,4.67569989268668e-05,,,,
openmp_block_row_parallel,100,2,4.263700247975066e-05,,,,
openmp_block_row_parallel,100,3,4.0597995393909514e-05,,,,
openmp_block_row_parallel,100,4,4.074799653608352e-05,,,,
openmp_block_row_parallel,100,5,4.0327002352569245e-05,,,,
openmp_block_row_parallel,100,6,4.456600436242297e-05,,,,
openmp_block_row_parallel,100,7,3.7580997741315514e-05,,,,
openmp_block_row_parallel,100,8,5.089399928692728e-05,,,,
openmp_block_row_parallel,100,9,6.94090049364604e-05,,,,
openmp_block_row_parallel,500,0,0.0080355539976153,,,,
openmp_block_row_parallel,500,1,0.0082080369975301,,,,
openmp_block_row_parallel,500,2,0.0078268110009958,,,,
openmp_block_row_parallel,500,3,0.0081593150025582,,,,
openmp_block_row_parallel,500,4,0.0079902079960447,,,,
openmp_block_row_parallel,500,5,0.008016048996069,,,,
openmp_block_row_parallel,500,6,0.0082304030001978,,,,
openmp_block_row_parallel,500,7,0.0080684890053817,,,,
openmp_block_row_parallel,500,8,0.00837612599571,,,,
openmp_block_row_parallel,500,9,0.008114962001855,,,,
openmp_block_row_parallel,1000,0,0.0359128449999843,,,,
openmp_block_row_parallel,1000,1,0.0355409159965347,,,,
openmp_block_row_parallel,1000,2,0.0356883790009305,,,,
openmp_block_row_parallel,1000,3,0.0353268470062175,,,,
openmp_block_row_parallel,1000,4,0.0353315669999574,,,,
openmp_block_row_parallel,1000,5,0.0353527560000657,,,,
openmp_block_row_parallel,1000,6,0.0353047550015617,,,,
openmp_block_row_parallel,1000,7,0.0356927120010368,,,,
openmp_block_row_parallel,1000,8,0.03535506100161,,,,
openmp_block_row_parallel,1000,9,0.0354956420051166,,,,
openmp_block_row_parallel,2000,0,0.1547190079945721,,,,
openmp_block_row_parallel,2000,1,0.1554015540023101,,,,
openmp_block_row_parallel,2000,2,0.1544480709999334,,,,
openmp_block_row_parallel,2000,3,0.1556257880001794,,,,
openmp_block_row_parallel,2000,4,0.1560906700033228,,,,
openmp_block_row_parallel,2000,5,0.1552397089981241,,,,
openmp_block_row_parallel,2000,6,0.1555418899952201,,,,
openmp_block_row_parallel,2000,7,0.1550841019998188,,,,
openmp_block_row_parallel,2000,8,0.1546376999976928,,,,
openmp_block_row_parallel,2000,9,0.1548477600008482,,,,
openmp_block_row_parallel,5000,0,0.5064346589999928,,39118.45229417509,39118.45229417509,3.814414061873293e-16
openmp_block_row_parallel,10000,0,2.661719311001434,,85170.90017818294,85170.90017818294,1.0011063416358397e-16
openmp_block_row_parallel,20000,0,14.155277078999916,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_block_row_parallel,20000,1,13.551877978932984,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_block_row_parallel,20000,2,14.99151750779894,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_block_row_parallel,30000,0,75.36778271300136,,,,
openmp_block_row_parallel,50000,0,158.7864179979997,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_block_row_parallel,50000,1,158.9934879979592,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_block_row_parallel,50000,2,156.92641749199336,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_block_row_parallel,60000,0,481.3481077719998,,,,
openmp_block_row_parallel,80000,0,1049.8031284590031,,,,
openmp_block_row_parallel,100000,0,1563.1925877289975,,,,
