method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
cholesky_blocked_tile_kernels_unrolled,1,0,6.16011675447225570679e-07,,,
cholesky_blocked_tile_kernels_unrolled,1,1,2.1900632418692111969e-07,,,
cholesky_blocked_tile_kernels_unrolled,1,2,7.90168996900320053101e-08,,,
cholesky_blocked_tile_kernels_unrolled,1,3,8.60018189996480941772e-08,,,
cholesky_blocked_tile_kernels_unrolled,1,4,6.70261215418577194214e-08,,,
cholesky_blocked_tile_kernels_unrolled,1,5,8.60018189996480941772e-08,,,
cholesky_blocked_tile_kernels_unrolled,1,6,8.50122887641191482544e-08,,,
cholesky_blocked_tile_kernels_unrolled,1,7,7.79982656240463256836e-08,,,
cholesky_blocked_tile_kernels_unrolled,1,8,8.89995135366916656494e-08,,,
cholesky_blocked_tile_kernels_unrolled,1,9,6.79865479469299316406e-08,,,
cholesky_blocked_tile_kernels_unrolled,201,0,0.000617482000961899757385,,,
cholesky_blocked_tile_kernels_unrolled,201,1,0.000615083990851417183876,,,
cholesky_blocked_tile_kernels_unrolled,201,2,0.000614925986155867576599,,,
cholesky_blocked_tile_kernels_unrolled,201,3,0.000626125984126701951027,,,
cholesky_blocked_tile_kernels_unrolled,201,4,0.000613397976849228143692,,,
cholesky_blocked_tile_kernels_unrolled,201,5,0.000611989002209156751633,,,
cholesky_blocked_tile_kernels_unrolled,201,6,0.00061536597786471247673,,,
cholesky_blocked_tile_kernels_unrolled,201,7,0.000614597985986620187759,,,
cholesky_blocked_tile_kernels_unrolled,201,8,0.000613644981058314442635,,,
cholesky_blocked_tile_kernels_unrolled,201,9,0.00061516001005657017231,,,
cholesky_blocked_tile_kernels_unrolled,401,0,0.00468392999027855694294,,,
cholesky_blocked_tile_kernels_unrolled,401,1,0.00467822799691930413246,,,
cholesky_blocked_tile_kernels_unrolled,401,2,0.00467488099820911884308,,,
cholesky_blocked_tile_kernels_unrolled,401,3,0.00467537197982892394066,,,
cholesky_blocked_tile_kernels_unrolled,401,4,0.00467761699110269546509,,,
cholesky_blocked_tile_kernels_unrolled,401,5,0.00470753700938075780869,,,
cholesky_blocked_tile_kernels_unrolled,401,6,0.00469287100713700056076,,,
cholesky_blocked_tile_kernels_unrolled,401,7,0.00467672001104801893234,,,
cholesky_blocked_tile_kernels_unrolled,401,8,0.00467208298505283892155,,,
cholesky_blocked_tile_kernels_unrolled,401,9,0.00467019699863158166409,,,
cholesky_blocked_tile_kernels_unrolled,601,0,0.015747176978038623929,,,
cholesky_blocked_tile_kernels_unrolled,601,1,0.0155559569830074906349,,,
cholesky_blocked_tile_kernels_unrolled,601,2,0.0156197529868222773075,,,
cholesky_blocked_tile_kernels_unrolled,601,3,0.0155881459941156208515,,,
cholesky_blocked_tile_kernels_unrolled,601,4,0.0157304589811246842146,,,
cholesky_blocked_tile_kernels_unrolled,601,5,0.015647765016183257103,,,
cholesky_blocked_tile_kernels_unrolled,601,6,0.0155929490283597260714,,,
cholesky_blocked_tile_kernels_unrolled,601,7,0.0156698209757450968027,,,
cholesky_blocked_tile_kernels_unrolled,601,8,0.0155313249852042645216,,,
cholesky_blocked_tile_kernels_unrolled,601,9,0.0156951149983797222376,,,
cholesky_blocked_tile_kernels_unrolled,801,0,0.0369094680063426494598,,,
cholesky_blocked_tile_kernels_unrolled,801,1,0.0369710410013794898987,,,
cholesky_blocked_tile_kernels_unrolled,801,2,0.0369585470180027186871,,,
cholesky_blocked_tile_kernels_unrolled,801,3,0.0369078700023237615824,,,
cholesky_blocked_tile_kernels_unrolled,801,4,0.0368264890275895595551,,,
cholesky_blocked_tile_kernels_unrolled,801,5,0.0368647190043702721596,,,
cholesky_blocked_tile_kernels_unrolled,801,6,0.0368884459894616156816,,,
cholesky_blocked_tile_kernels_unrolled,801,7,0.0368458949960768222809,,,
cholesky_blocked_tile_kernels_unrolled,801,8,0.0370288059930317103863,,,
cholesky_blocked_tile_kernels_unrolled,801,9,0.036968149011954665184,,,
cholesky_blocked_tile_kernels_unrolled,1001,0,0.0717876779963262379169,,,
cholesky_blocked_tile_kernels_unrolled,1001,1,0.0718690450012218207121,,,
cholesky_blocked_tile_kernels_unrolled,1001,2,0.0718615750083699822426,,,
cholesky_blocked_tile_kernels_unrolled,1001,3,0.0718369119858834892511,,,
cholesky_blocked_tile_kernels_unrolled,1001,4,0.072001316992100328207,,,
cholesky_blocked_tile_kernels_unrolled,1001,5,0.0718737100251019001007,,,
cholesky_blocked_tile_kernels_unrolled,1001,6,0.072023321990855038166,,,
cholesky_blocked_tile_kernels_unrolled,1001,7,0.071931631013285368681,,,
cholesky_blocked_tile_kernels_unrolled,1001,8,0.0718831259873695671558,,,
cholesky_blocked_tile_kernels_unrolled,1001,9,0.0721414690196979790926,,,
cholesky_blocked_tile_kernels_unrolled,1201,0,0.124509507004404440522,,,
cholesky_blocked_tile_kernels_unrolled,1201,1,0.124833909008884802461,,,
cholesky_blocked_tile_kernels_unrolled,1201,2,0.124466156994458287954,,,
cholesky_blocked_tile_kernels_unrolled,1201,3,0.124365814001066610217,,,
cholesky_blocked_tile_kernels_unrolled,1201,4,0.124218843993730843067,,,
cholesky_blocked_tile_kernels_unrolled,1201,5,0.124320825008908286691,,,
cholesky_blocked_tile_kernels_unrolled,1201,6,0.124158448015805333853,,,
cholesky_blocked_tile_kernels_unrolled,1201,7,0.12441470602061599493,,,
cholesky_blocked_tile_kernels_unrolled,1201,8,0.124587594997137784958,,,
cholesky_blocked_tile_kernels_unrolled,1201,9,0.124760323000373318791,,,
cholesky_blocked_tile_kernels_unrolled,1401,0,0.198814338975353166461,,,
cholesky_blocked_tile_kernels_unrolled,1401,1,0.198494008014677092433,,,
cholesky_blocked_tile_kernels_unrolled,1401,2,0.19817463299841620028,,,
cholesky_blocked_tile_kernels_unrolled,1401,3,0.198202036001021042466,,,
cholesky_blocked_tile_kernels_unrolled,1401,4,0.198117393010761588812,,,
cholesky_blocked_tile_kernels_unrolled,1401,5,0.197807929012924432755,,,
cholesky_blocked_tile_kernels_unrolled,1401,6,0.197961214988026767969,,,
cholesky_blocked_tile_kernels_unrolled,1401,7,0.198539370001526549459,,,
cholesky_blocked_tile_kernels_unrolled,1401,8,0.198723836016142740846,,,
cholesky_blocked_tile_kernels_unrolled,1401,9,0.19796452802256681025,,,
cholesky_blocked_tile_kernels_unrolled,1601,0,0.298989941977197304368,,,
cholesky_blocked_tile_kernels_unrolled,1601,1,0.300000160001218318939,,,
cholesky_blocked_tile_kernels_unrolled,1601,2,0.299200152978301048279,,,
cholesky_blocked_tile_kernels_unrolled,1601,3,0.299215553997782990336,,,
cholesky_blocked_tile_kernels_unrolled,1601,4,0.299297860998194664717,,,
cholesky_blocked_tile_kernels_unrolled,1601,5,0.299352358997566625476,,,
cholesky_blocked_tile_kernels_unrolled,1601,6,0.299990515981335192919,,,
cholesky_blocked_tile_kernels_unrolled,1601,7,0.300059895991580560803,,,
cholesky_blocked_tile_kernels_unrolled,1601,8,0.299312750023091211915,,,
cholesky_blocked_tile_kernels_unrolled,1601,9,0.299592195020522922277,,,
cholesky_blocked_tile_kernels_unrolled,1801,0,0.4230835659836884588,,,
cholesky_blocked_tile_kernels_unrolled,1801,1,0.422146332013653591275,,,
cholesky_blocked_tile_kernels_unrolled,1801,2,0.424444015021435916424,,,
cholesky_blocked_tile_kernels_unrolled,1801,3,0.422843329986790195107,,,
cholesky_blocked_tile_kernels_unrolled,1801,4,0.42284550899057649076,,,
cholesky_blocked_tile_kernels_unrolled,1801,5,0.423266251018503680825,,,
cholesky_blocked_tile_kernels_unrolled,1801,6,0.422961208998458459973,,,
cholesky_blocked_tile_kernels_unrolled,1801,7,0.423577822017250582576,,,
cholesky_blocked_tile_kernels_unrolled,1801,8,0.422648870007833465934,,,
cholesky_blocked_tile_kernels_unrolled,1801,9,0.422683384997071698308,,,
cholesky_blocked_tile_kernels_unrolled,2001,0,0.585693533997982740402,,,
cholesky_blocked_tile_kernels_unrolled,2001,1,0.5852352989895734936,,,
cholesky_blocked_tile_kernels_unrolled,2001,2,0.585506297997198998928,,,
cholesky_blocked_tile_kernels_unrolled,2001,3,0.585614194016670808196,,,
cholesky_blocked_tile_kernels_unrolled,2001,4,0.585944671998731791973,,,
cholesky_blocked_tile_kernels_unrolled,2001,5,0.585483647009823471308,,,
cholesky_blocked_tile_kernels_unrolled,2001,6,0.585944085003575310111,,,
cholesky_blocked_tile_kernels_unrolled,2001,7,0.585645343002397567034,,,
cholesky_blocked_tile_kernels_unrolled,2001,8,0.590183913998771458864,,,
cholesky_blocked_tile_kernels_unrolled,2001,9,0.586872672021854668856,,,
cholesky_blocked_tile_kernels_unrolled,2201,0,0.750226723001105710864,,,
cholesky_blocked_tile_kernels_unrolled,2201,1,0.74893962001078762114,,,
cholesky_blocked_tile_kernels_unrolled,2201,2,0.749972138000885024667,,,
cholesky_blocked_tile_kernels_unrolled,2201,3,0.748895208991598337889,,,
cholesky_blocked_tile_kernels_unrolled,2201,4,0.748969892010791227221,,,
cholesky_blocked_tile_kernels_unrolled,2201,5,0.748839762003626674414,,,
cholesky_blocked_tile_kernels_unrolled,2201,6,0.750130903004901483655,,,
cholesky_blocked_tile_kernels_unrolled,2201,7,0.748498558998107910156,,,
cholesky_blocked_tile_kernels_unrolled,2201,8,0.748883041000226512551,,,
cholesky_blocked_tile_kernels_unrolled,2201,9,0.748218955995980650187,,,
cholesky_blocked_tile_kernels_unrolled,2401,0,0.968380984995746985078,,,
cholesky_blocked_tile_kernels_unrolled,2401,1,0.971305620012572035193,,,
cholesky_blocked_tile_kernels_unrolled,2401,2,0.968993451999267563224,,,
cholesky_blocked_tile_kernels_unrolled,2401,3,0.969175528996856883168,,,
cholesky_blocked_tile_kernels_unrolled,2401,4,0.968468829989433288574,,,
cholesky_blocked_tile_kernels_unrolled,2401,5,0.969977087981533259153,,,
cholesky_blocked_tile_kernels_unrolled,2401,6,0.968820230016717687249,,,
cholesky_blocked_tile_kernels_unrolled,2401,7,0.969304677011677995324,,,
cholesky_blocked_tile_kernels_unrolled,2401,8,0.970814631989924237132,,,
cholesky_blocked_tile_kernels_unrolled,2401,9,0.968800834001740440726,,,
cholesky_blocked_tile_kernels_unrolled,2601,0,1.23486613601562567055,,,
cholesky_blocked_tile_kernels_unrolled,2601,1,1.23343236700748093426,,,
cholesky_blocked_tile_kernels_unrolled,2601,2,1.23382080599549226463,,,
cholesky_blocked_tile_kernels_unrolled,2601,3,1.23539348799386061728,,,
cholesky_blocked_tile_kernels_unrolled,2601,4,1.23347545400611124933,,,
cholesky_blocked_tile_kernels_unrolled,2601,5,1.23363632700056768954,,,
cholesky_blocked_tile_kernels_unrolled,2601,6,1.23314327601110562682,,,
cholesky_blocked_tile_kernels_unrolled,2601,7,1.23376619399641640484,,,
cholesky_blocked_tile_kernels_unrolled,2601,8,1.23488351798732765019,,,
cholesky_blocked_tile_kernels_unrolled,2601,9,1.23987717399722896516,,,
cholesky_blocked_tile_kernels_unrolled,2801,0,1.54067504100385122001,,,
cholesky_blocked_tile_kernels_unrolled,2801,1,1.54124027400393970311,,,
cholesky_blocked_tile_kernels_unrolled,2801,2,1.54181928900652565062,,,
cholesky_blocked_tile_kernels_unrolled,2801,3,1.53939054498914629221,,,
cholesky_blocked_tile_kernels_unrolled,2801,4,1.54152457602322101593,,,
cholesky_blocked_tile_kernels_unrolled,2801,5,1.5396599329833406955,,,
cholesky_blocked_tile_kernels_unrolled,2801,6,1.54210208900622092187,,,
cholesky_blocked_tile_kernels_unrolled,2801,7,1.54015393598820082843,,,
cholesky_blocked_tile_kernels_unrolled,2801,8,1.54118202798417769372,,,
cholesky_blocked_tile_kernels_unrolled,2801,9,1.5397831959999166429,,,
cholesky_blocked_tile_kernels_unrolled,3001,0,1.88943770100013352931,,,
cholesky_blocked_tile_kernels_unrolled,3001,1,1.88842173499870114028,,,
cholesky_blocked_tile_kernels_unrolled,3001,2,1.88786030499613843858,,,
cholesky_blocked_tile_kernels_unrolled,3001,3,1.89100150400190614164,,,
cholesky_blocked_tile_kernels_unrolled,3001,4,1.88826736400369554758,,,
cholesky_blocked_tile_kernels_unrolled,3001,5,1.88893842100515030324,,,
cholesky_blocked_tile_kernels_unrolled,3001,6,1.89457006100565195084,,,
cholesky_blocked_tile_kernels_unrolled,3001,7,1.89134408801328390837,,,
cholesky_blocked_tile_kernels_unrolled,3001,8,1.88773157700779847801,,,
cholesky_blocked_tile_kernels_unrolled,3001,9,1.88730631701764650643,,,
cholesky_blocked_tile_kernels_unrolled,3201,0,2.29269929198198951781,,,
cholesky_blocked_tile_kernels_unrolled,3201,1,2.2908294560038484633,,,
cholesky_blocked_tile_kernels_unrolled,3201,2,2.29041616400354541838,,,
cholesky_blocked_tile_kernels_unrolled,3201,3,2.29277989501133561134,,,
cholesky_blocked_tile_kernels_unrolled,3201,4,2.29194855797686614096,,,
cholesky_blocked_tile_kernels_unrolled,3201,5,2.29270661497139371932,,,
cholesky_blocked_tile_kernels_unrolled,3201,6,2.29179486798238940537,,,
cholesky_blocked_tile_kernels_unrolled,3201,7,2.29390963198966346681,,,
cholesky_blocked_tile_kernels_unrolled,3201,8,2.29236312501598149538,,,
cholesky_blocked_tile_kernels_unrolled,3201,9,2.29452999500790610909,,,
cholesky_blocked_tile_kernels_unrolled,3401,0,2.74977634000242687762,,,
