method,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
openmp_tile_parallel_blocked,1,0,2.580699947429821e-05,,,,
openmp_tile_parallel_blocked,1,1,2.219699672423303e-05,,,,
openmp_tile_parallel_blocked,1,2,2.6895002520177513e-05,,,,
openmp_tile_parallel_blocked,1,3,2.764199598459527e-05,,,,
openmp_tile_parallel_blocked,1,4,2.4609995307400823e-05,,,,
openmp_tile_parallel_blocked,1,5,2.3421998776029795e-05,,,,
openmp_tile_parallel_blocked,1,6,2.6155001251026988e-05,,,,
openmp_tile_parallel_blocked,1,7,2.399899676674977e-05,,,,
openmp_tile_parallel_blocked,1,8,2.6011999580077824e-05,,,,
openmp_tile_parallel_blocked,1,9,3.362200368428603e-05,,,,
openmp_tile_parallel_blocked,100,0,0.0001750820010784,,,,
openmp_tile_parallel_blocked,100,1,0.0001803390041459,,,,
openmp_tile_parallel_blocked,100,2,0.0001888000042526,,,,
openmp_tile_parallel_blocked,100,3,0.0001844139987952,,,,
openmp_tile_parallel_blocked,100,4,0.0001878059993032,,,,
openmp_tile_parallel_blocked,100,5,0.0001785880012903,,,,
openmp_tile_parallel_blocked,100,6,0.0001757209975039,,,,
openmp_tile_parallel_blocked,100,7,0.0001830589972087,,,,
openmp_tile_parallel_blocked,100,8,0.0001939739959198,,,,
openmp_tile_parallel_blocked,100,9,0.0001840309996623,,,,
openmp_tile_parallel_blocked,500,0,0.0029818510010954,,,,
openmp_tile_parallel_blocked,500,1,0.0029828129991074,,,,
openmp_tile_parallel_blocked,500,2,0.0030831839976599,,,,
openmp_tile_parallel_blocked,500,3,0.002909903996624,,,,
openmp_tile_parallel_blocked,500,4,0.0030447409953922,,,,
openmp_tile_parallel_blocked,500,5,0.0030639460019301,,,,
openmp_tile_parallel_blocked,500,6,0.0031319040062953,,,,
openmp_tile_parallel_blocked,500,7,0.0029067249997751,,,,
openmp_tile_parallel_blocked,500,8,0.0030283259984571,,,,
openmp_tile_parallel_blocked,500,9,0.0028197489955346,,,,
openmp_tile_parallel_blocked,1000,0,0.0107436230027815,,,,
openmp_tile_parallel_blocked,1000,1,0.0115647399943554,,,,
openmp_tile_parallel_blocked,1000,2,0.0112500190007267,,,,
openmp_tile_parallel_blocked,1000,3,0.0113716739942901,,,,
openmp_tile_parallel_blocked,1000,4,0.0111649919999763,,,,
openmp_tile_parallel_blocked,1000,5,0.0114446340012364,,,,
openmp_tile_parallel_blocked,1000,6,0.0108234180006547,,,,
openmp_tile_parallel_blocked,1000,7,0.0115727450029226,,,,
openmp_tile_parallel_blocked,1000,8,0.0105054520026897,,,,
openmp_tile_parallel_blocked,1000,9,0.0112412390008103,,,,
openmp_tile_parallel_blocked,2000,0,0.0458319509998545,,,,
openmp_tile_parallel_blocked,2000,1,0.044885923001857,,,,
openmp_tile_parallel_blocked,2000,2,0.0454266489978181,,,,
openmp_tile_parallel_blocked,2000,3,0.0449649109941674,,,,
openmp_tile_parallel_blocked,2000,4,0.0447991229957551,,,,
openmp_tile_parallel_blocked,2000,5,0.0452047260041581,,,,
openmp_tile_parallel_blocked,2000,6,0.0451962430015555,,,,
openmp_tile_parallel_blocked,2000,7,0.0456439420013339,,,,
openmp_tile_parallel_blocked,2000,8,0.0458276950012077,,,,
openmp_tile_parallel_blocked,2000,9,0.0458474299957742,,,,
openmp_tile_parallel_blocked,5000,0,0.2559249979999975,,39118.45229417509,39118.45229417509,3.814414061873293e-16
openmp_tile_parallel_blocked,10000,0,1.340199574999133,,85170.90017818294,85170.90017818294,1.0011063416358397e-16
openmp_tile_parallel_blocked,20000,0,9.214242484999886,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_tile_parallel_blocked,20000,1,10.114343404129844,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_tile_parallel_blocked,20000,2,8.974543211259638,,184205.4721815574,184205.4721815574,3.3944572876347523e-16
openmp_tile_parallel_blocked,30000,0,29.513915794006607,,,,
openmp_tile_parallel_blocked,50000,0,118.6648699670004,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_tile_parallel_blocked,50000,1,119.75456496072044,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_tile_parallel_blocked,50000,2,118.13485902782833,,506330.5329765038,506330.5329765038,2.245308752235403e-16
openmp_tile_parallel_blocked,60000,0,301.1992690659972,,,,
openmp_tile_parallel_blocked,100000,0,2899.5160951679973,,,,
