method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
baseline,100,0,0.000172410000232048332691,unavailable,unavailable,unavailable
baseline,100,1,0.000197248999029397964478,unavailable,unavailable,unavailable
baseline,100,2,0.000199838003027252852917,unavailable,unavailable,unavailable
baseline,500,0,0.0379268859978765249252,unavailable,unavailable,unavailable
baseline,500,1,0.0380052179971244186163,unavailable,unavailable,unavailable
baseline,500,2,0.0380401759903179481626,unavailable,unavailable,unavailable
baseline,1000,0,0.424865555993164889514,unavailable,unavailable,unavailable
baseline,1000,1,0.424127363003208301961,unavailable,unavailable,unavailable
baseline,1000,2,0.425483995000831782818,unavailable,unavailable,unavailable
baseline,1500,0,1.44233036000514402986,unavailable,unavailable,unavailable
baseline,1500,1,1.44044455299444962293,unavailable,unavailable,unavailable
baseline,1500,2,1.44011079100891947746,unavailable,unavailable,unavailable
baseline,2000,0,4.78869913099333643913,unavailable,unavailable,unavailable
baseline,2000,1,4.79253272899950388819,unavailable,unavailable,unavailable
baseline,2000,2,4.7884497420018306002,unavailable,unavailable,unavailable
baseline,2500,0,6.7470081989886239171,unavailable,unavailable,unavailable
baseline,2500,1,6.74897213300573639572,unavailable,unavailable,unavailable
baseline,2500,2,6.7474992080096853897,unavailable,unavailable,unavailable
baseline,3000,0,12.3418551009963266551,unavailable,unavailable,unavailable
baseline,3000,1,12.2406208260072162375,unavailable,unavailable,unavailable
baseline,3000,2,12.3201848739990964532,unavailable,unavailable,unavailable
baseline,3500,0,21.286311982010374777,unavailable,unavailable,unavailable
baseline,3500,1,21.3663718140014680102,unavailable,unavailable,unavailable
baseline,3500,2,21.3127356689947191626,unavailable,unavailable,unavailable
baseline,4000,0,60.8712239470041822642,unavailable,unavailable,unavailable
baseline,4000,1,60.8606510629906551912,unavailable,unavailable,unavailable
baseline,4000,2,60.8001791020069504157,unavailable,unavailable,unavailable
baseline,4500,0,51.9617930810054531321,unavailable,unavailable,unavailable
baseline,4500,1,51.7644716590002644807,unavailable,unavailable,unavailable
baseline,4500,2,51.9281857570022111759,unavailable,unavailable,unavailable
baseline,5000,0,70.8334374910045880824,unavailable,unavailable,unavailable
baseline,5000,1,70.86865500699786935,unavailable,unavailable,unavailable
baseline,5000,2,70.8339729970030020922,unavailable,unavailable,unavailable
