optimisation,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
baseline,5000,0,69.8590462330030277371,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
baseline,5000,1,69.8154884020041208714,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
baseline,5000,2,69.8659638359968084842,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
lower_triangle,5000,0,13.5744208249961957335,5.14637398778467591853,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
lower_triangle,5000,1,13.5821617030014749616,5.14023392804812750967,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
lower_triangle,5000,2,13.5690463030041428283,5.14892220690032687003,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
upper_triangle,5000,0,9.71454066199657972902,7.19118367647505962736,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
upper_triangle,5000,1,9.69573106100142467767,7.20064201066992293221,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
upper_triangle,5000,2,9.67263415099296253175,7.22305452117452251315,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
contiguous_access,5000,0,10.477322549995733425,6.66764298795320353719,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
contiguous_access,5000,1,10.4566647540050325915,6.67664977738374165739,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
contiguous_access,5000,2,10.4171229140047216788,6.70683877043145937336,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
cache_blocked_1,5000,0,12.6244463629991514608,5.5336324638957732347,39118.4522941750887419,39118.4522941750886744,1.7255682660855373278e-16
cache_blocked_1,5000,1,12.6487259109999286011,5.51956686335414037359,39118.4522941750887419,39118.4522941750886744,1.7255682660855373278e-16
cache_blocked_1,5000,2,12.624590528997941874,5.53411721952635193844,39118.4522941750887419,39118.4522941750886744,1.7255682660855373278e-16
cache_blocked_2,5000,0,8.16263912299473304302,8.55838965564521103602,39118.4522941750887419,39118.4522941750886744,1.7255682660855373278e-16
cache_blocked_2,5000,1,8.18416028899082448334,8.53056220024411970826,39118.4522941750887419,39118.4522941750886744,1.7255682660855373278e-16
cache_blocked_2,5000,2,8.16462870199757162482,8.55715138875859615553,39118.4522941750887419,39118.4522941750886744,1.7255682660855373278e-16
