optimisation,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
baseline,5000,0,69.505465769994771108,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
baseline,5000,1,69.7019323919957969338,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
baseline,5000,2,70.35402042799978517,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
baseline,5000,3,70.6571201820042915642,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
baseline,5000,4,69.5372731800016481429,1,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp1,5000,0,0.807249064993811771274,86.10163676129818,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp1,5000,1,0.674700833988026715815,103.3079090476309,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp1,5000,2,0.678009265000582672656,103.7655738051593,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp1,5000,3,0.657845038003870286047,107.4069364365846,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp1,5000,4,1.02356130800035316497,67.93659806841551,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp2,5000,0,0.715830328001175075769,97.09768230144151,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp2,5000,1,0.83659217999957036227,83.31650003234741,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp2,5000,2,0.668772468998213298619,105.1987390171525,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp2,5000,3,0.782707758990000002086,90.27267121151283,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp2,5000,4,0.775054358004126697779,89.71922093189676,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp3,5000,0,0.787242391001200303435,88.28979049463915,39118.4522941750887419,39118.4522941750887348,1.81638764851109192395e-17
openmp3,5000,1,0.729687344006379134953,95.52301127945347,39118.4522941750887419,39118.4522941750887348,1.81638764851109192395e-17
openmp3,5000,2,0.800849589999415911734,87.84923075012263,39118.4522941750887419,39118.4522941750887348,1.81638764851109192395e-17
openmp3,5000,3,0.841849626012844964862,83.93080901710373,39118.4522941750887419,39118.4522941750887348,1.81638764851109192395e-17
openmp3,5000,4,0.70134844499989412725,99.1479679975795,39118.4522941750887419,39118.4522941750887348,1.81638764851109192395e-17
openmp4,5000,0,0.384698105990537442267,180.6753521466633,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp4,5000,1,0.385735354997450485826,180.6988431030816,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp4,5000,2,0.376752223994117230177,186.7381688743484,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp4,5000,3,0.497383693989831954241,142.0575725255857,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
openmp4,5000,4,0.542959343001712113619,128.0708658507832,39118.4522941750887419,39118.4522941750888911,3.81441406187329304045e-16
