method,n,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
cholesky_blocked_tile_kernels,1,0,6.22996594756841659546e-07,,,
cholesky_blocked_tile_kernels,1,1,6.59783836454153060913e-08,,,
cholesky_blocked_tile_kernels,1,2,6.69970177114009857178e-08,,,
cholesky_blocked_tile_kernels,1,3,5.09899109601974487305e-08,,,
cholesky_blocked_tile_kernels,1,4,3.60014382749795913696e-08,,,
cholesky_blocked_tile_kernels,1,5,5.20085450261831283569e-08,,,
cholesky_blocked_tile_kernels,1,6,6.00120984017848968506e-08,,,
cholesky_blocked_tile_kernels,1,7,5.19794411957263946533e-08,,,
cholesky_blocked_tile_kernels,1,8,5.29980752617120742798e-08,,,
cholesky_blocked_tile_kernels,1,9,4.79922164231538772583e-08,,,
cholesky_blocked_tile_kernels,201,0,0.000721646007150411605835,,,
cholesky_blocked_tile_kernels,201,1,0.000713711982825770974159,,,
cholesky_blocked_tile_kernels,201,2,0.000714166992111131548882,,,
cholesky_blocked_tile_kernels,201,3,0.000716932991053909063339,,,
cholesky_blocked_tile_kernels,201,4,0.000712987006409093737602,,,
cholesky_blocked_tile_kernels,201,5,0.000843683024868369102478,,,
cholesky_blocked_tile_kernels,201,6,0.000711316999513655900955,,,
cholesky_blocked_tile_kernels,201,7,0.000715320988092571496964,,,
cholesky_blocked_tile_kernels,201,8,0.000713290995918214321136,,,
cholesky_blocked_tile_kernels,201,9,0.000716027017915621399879,,,
cholesky_blocked_tile_kernels,401,0,0.00633143400773406028748,,,
cholesky_blocked_tile_kernels,401,1,0.0061322749825194478035,,,
cholesky_blocked_tile_kernels,401,2,0.00614048098213970661163,,,
cholesky_blocked_tile_kernels,401,3,0.00621176499407738447189,,,
cholesky_blocked_tile_kernels,401,4,0.00617684700409881770611,,,
cholesky_blocked_tile_kernels,401,5,0.00617580901598557829857,,,
cholesky_blocked_tile_kernels,401,6,0.00615284100058488547802,,,
cholesky_blocked_tile_kernels,401,7,0.00612409901805222034454,,,
cholesky_blocked_tile_kernels,401,8,0.00604890901013277471066,,,
cholesky_blocked_tile_kernels,401,9,0.00621826501446776092052,,,
cholesky_blocked_tile_kernels,601,0,0.0210707480146083980799,,,
cholesky_blocked_tile_kernels,601,1,0.0216129360196646302938,,,
cholesky_blocked_tile_kernels,601,2,0.0214096530107781291008,,,
cholesky_blocked_tile_kernels,601,3,0.0215528040134813636541,,,
cholesky_blocked_tile_kernels,601,4,0.0214568740047980099916,,,
cholesky_blocked_tile_kernels,601,5,0.0211483679886441677809,,,
cholesky_blocked_tile_kernels,601,6,0.0216308720118831843138,,,
