optimisation,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
cache_blocked_1,2000,1,0,3.53229870999348349869,,,
cache_blocked_1,2000,1,1,3.53435491998970974237,,,
cache_blocked_1,2000,1,2,3.53285277199756819755,,,
cache_blocked_1,2000,2,0,1.38628683399292640388,,,
cache_blocked_1,2000,2,1,1.3863043139863293618,,,
cache_blocked_1,2000,2,2,1.38653694500681012869,,,
cache_blocked_1,2000,3,0,1.07104808099393267184,,,
cache_blocked_1,2000,3,1,1.07113681199552956969,,,
cache_blocked_1,2000,3,2,1.07117171700519975275,,,
cache_blocked_1,2000,4,0,0.967786289009382016957,,,
cache_blocked_1,2000,4,1,0.968855398998130112886,,,
cache_blocked_1,2000,4,2,0.96850347300642170012,,,
cache_blocked_1,2000,5,0,0.912416040999232791364,,,
cache_blocked_1,2000,5,1,0.912347593999584205449,,,
cache_blocked_1,2000,5,2,0.912124675000086426735,,,
cache_blocked_1,2000,6,0,0.934727905987529084086,,,
cache_blocked_1,2000,6,1,0.93538003500725608319,,,
cache_blocked_1,2000,6,2,0.935302479992969892919,,,
cache_blocked_1,2000,7,0,1.05963195300137158483,,,
cache_blocked_1,2000,7,1,1.04738099200767464936,,,
cache_blocked_1,2000,7,2,1.04838071200356353074,,,
cache_blocked_1,2000,8,0,0.924008254005457274616,,,
cache_blocked_1,2000,8,1,0.85763024700281675905,,,
cache_blocked_1,2000,8,2,0.930218423993210308254,,,
cache_blocked_1,2000,9,0,0.83604133600601926446,,,
cache_blocked_1,2000,9,1,0.83643089899851474911,,,
cache_blocked_1,2000,9,2,0.836915421998128294945,,,
cache_blocked_1,2000,10,0,0.822790897000231780112,,,
cache_blocked_1,2000,10,1,0.828646228997968137264,,,
cache_blocked_1,2000,10,2,0.823901344003388658166,,,
cache_blocked_1,2000,11,0,0.814157656001043505967,,,
cache_blocked_1,2000,11,1,0.814458056993316859007,,,
cache_blocked_1,2000,11,2,0.814822569998796097934,,,
cache_blocked_1,2000,12,0,0.80389063699112739414,,,
cache_blocked_1,2000,12,1,0.804084542003693059087,,,
cache_blocked_1,2000,12,2,0.804657554006553255022,,,
cache_blocked_1,2000,13,0,0.79772873899491969496,,,
cache_blocked_1,2000,13,1,0.797796316008316352963,,,
cache_blocked_1,2000,13,2,0.798087604998727329075,,,
cache_blocked_1,2000,14,0,0.792817442008526995778,,,
cache_blocked_1,2000,14,1,0.791591010987758636475,,,
cache_blocked_1,2000,14,2,0.791692697006510570645,,,
cache_blocked_1,2000,15,0,0.822933346993522718549,,,
cache_blocked_1,2000,15,1,0.82291986500786151737,,,
cache_blocked_1,2000,15,2,0.822842626002966426313,,,
cache_blocked_1,2000,16,0,0.813267818986787460744,,,
cache_blocked_1,2000,16,1,0.813339194006402976811,,,
cache_blocked_1,2000,16,2,0.81405333800648804754,,,
cache_blocked_1,2000,17,0,0.80638469099358189851,,,
cache_blocked_1,2000,17,1,0.806539094002800993621,,,
cache_blocked_1,2000,17,2,0.806417086001602001488,,,
cache_blocked_1,2000,18,0,0.799513046003994531929,,,
cache_blocked_1,2000,18,1,0.800279761999263428152,,,
cache_blocked_1,2000,18,2,0.800065304996678605676,,,
cache_blocked_1,2000,19,0,0.79404622100992128253,,,
cache_blocked_1,2000,19,1,0.793962146999547258019,,,
cache_blocked_1,2000,19,2,0.794578475004527717829,,,
cache_blocked_1,2000,20,0,0.788790232996689155698,,,
cache_blocked_1,2000,20,1,0.788546361989574506879,,,
cache_blocked_1,2000,20,2,0.788345654000295326114,,,
cache_blocked_1,2000,21,0,0.784695662005105987191,,,
cache_blocked_1,2000,21,1,0.785447476999252103269,,,
cache_blocked_1,2000,21,2,0.784732785003143362701,,,
cache_blocked_1,2000,22,0,0.780598315992392599583,,,
cache_blocked_1,2000,22,1,0.780292020004708319902,,,
cache_blocked_1,2000,22,2,0.783099402993684634566,,,
cache_blocked_1,2000,23,0,0.776884404011070728302,,,
cache_blocked_1,2000,23,1,0.777787833998445421457,,,
cache_blocked_1,2000,23,2,0.777462387006380595267,,,
cache_blocked_1,2000,24,0,0.773974007999640889466,,,
cache_blocked_1,2000,24,1,0.773807554011000320315,,,
cache_blocked_1,2000,24,2,0.773519385998952202499,,,
cache_blocked_1,2000,25,0,0.771017304999986663461,,,
cache_blocked_1,2000,25,1,0.770540241006528958678,,,
cache_blocked_1,2000,25,2,0.770797935998416505754,,,
cache_blocked_1,2000,26,0,0.768091970996465533972,,,
cache_blocked_1,2000,26,1,0.768156575999455526471,,,
cache_blocked_1,2000,26,2,0.768733977994997985661,,,
cache_blocked_1,2000,27,0,0.76667396200355142355,,,
cache_blocked_1,2000,27,1,0.766716383994207717478,,,
cache_blocked_1,2000,27,2,0.766695223006536252797,,,
