method,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_block_row_parallel,5000,1,0,4.08342160002212,,,
openmp_block_row_parallel,5000,1,1,4.141297947993734,,,
openmp_block_row_parallel,5000,1,2,4.116464177990565,,,
openmp_block_row_parallel,5000,1,3,4.120243876008317,,,
openmp_block_row_parallel,5000,1,4,4.136455291998573,,,
openmp_block_row_parallel,5000,1,5,4.1262650580029,,,
openmp_block_row_parallel,5000,1,6,4.1040144030121155,,,
openmp_block_row_parallel,5000,1,7,4.1109104869829025,,,
openmp_block_row_parallel,5000,1,8,4.110641014005523,,,
openmp_block_row_parallel,5000,1,9,4.1179987150244415,,,
openmp_block_row_parallel,5000,2,0,1.3736661289876793,,,
openmp_block_row_parallel,5000,2,1,1.3859168260241859,,,
openmp_block_row_parallel,5000,2,2,1.3733900260122027,,,
openmp_block_row_parallel,5000,2,3,1.3990430120029487,,,
openmp_block_row_parallel,5000,2,4,1.3853397170023527,,,
openmp_block_row_parallel,5000,2,5,1.3881167430081405,,,
openmp_block_row_parallel,5000,2,6,1.38122341100825,,,
openmp_block_row_parallel,5000,2,7,1.3845137330063153,,,
openmp_block_row_parallel,5000,2,8,1.4042816399887668,,,
openmp_block_row_parallel,5000,2,9,1.3869443740113638,,,
openmp_block_row_parallel,5000,3,0,0.9077259589976164,,,
openmp_block_row_parallel,5000,3,1,0.9094343399920036,,,
openmp_block_row_parallel,5000,3,2,0.9106680310214867,,,
openmp_block_row_parallel,5000,3,3,0.920500306005124,,,
openmp_block_row_parallel,5000,3,4,0.9215662089991384,,,
openmp_block_row_parallel,5000,3,5,0.9176663880061824,,,
openmp_block_row_parallel,5000,3,6,0.906259092997061,,,
openmp_block_row_parallel,5000,3,7,0.9197126649960408,,,
openmp_block_row_parallel,5000,3,8,0.912171941017732,,,
openmp_block_row_parallel,5000,3,9,0.9138440990063827,,,
openmp_block_row_parallel,5000,4,0,0.6747470460250042,,,
openmp_block_row_parallel,5000,4,1,0.6630513929994776,,,
openmp_block_row_parallel,5000,4,2,0.6679090480029117,,,
openmp_block_row_parallel,5000,4,3,0.6706070590007585,,,
openmp_block_row_parallel,5000,4,4,0.6602442510193213,,,
openmp_block_row_parallel,5000,4,5,0.6670606889820192,,,
openmp_block_row_parallel,5000,4,6,0.665853547019651,,,
openmp_block_row_parallel,5000,4,7,0.6661217740038409,,,
openmp_block_row_parallel,5000,4,8,0.662332726002205,,,
openmp_block_row_parallel,5000,4,9,0.6703534520056564,,,
openmp_block_row_parallel,5000,5,0,0.6056495179946068,,,
openmp_block_row_parallel,5000,5,1,0.6093152459943667,,,
openmp_block_row_parallel,5000,5,2,0.60740160397836,,,
openmp_block_row_parallel,5000,5,3,0.6091725899896118,,,
openmp_block_row_parallel,5000,5,4,0.6094822690065484,,,
openmp_block_row_parallel,5000,5,5,0.6014048529905267,,,
openmp_block_row_parallel,5000,5,6,0.606994597997982,,,
openmp_block_row_parallel,5000,5,7,0.6027326979965437,,,
openmp_block_row_parallel,5000,5,8,0.6014806450111791,,,
openmp_block_row_parallel,5000,5,9,0.5975550499861128,,,
openmp_block_row_parallel,5000,6,0,0.534874684002716,,,
openmp_block_row_parallel,5000,6,1,0.538873367011547,,,
openmp_block_row_parallel,5000,6,2,0.5327445839939173,,,
openmp_block_row_parallel,5000,6,3,0.5461245260084979,,,
openmp_block_row_parallel,5000,6,4,0.5422823069966398,,,
openmp_block_row_parallel,5000,6,5,0.5294864600000437,,,
openmp_block_row_parallel,5000,6,6,0.5584146500041242,,,
openmp_block_row_parallel,5000,6,7,0.5344031800050288,,,
openmp_block_row_parallel,5000,6,8,0.535021656018216,,,
openmp_block_row_parallel,5000,6,9,0.5455422950035426,,,
openmp_block_row_parallel,5000,7,0,0.5064080599986482,,,
openmp_block_row_parallel,5000,7,1,0.506281684996793,,,
openmp_block_row_parallel,5000,7,2,0.499674277001759,,,
openmp_block_row_parallel,5000,7,3,0.5074379690049681,,,
openmp_block_row_parallel,5000,7,4,0.5035360759939067,,,
openmp_block_row_parallel,5000,7,5,0.4992458439955953,,,
openmp_block_row_parallel,5000,7,6,0.4977759920002426,,,
openmp_block_row_parallel,5000,7,7,0.5065426459768787,,,
openmp_block_row_parallel,5000,7,8,0.4998121279932092,,,
openmp_block_row_parallel,5000,7,9,0.4962796939944382,,,
openmp_block_row_parallel,5000,8,0,0.4086299799964763,,,
openmp_block_row_parallel,5000,8,1,0.4133780960110016,,,
openmp_block_row_parallel,5000,8,2,0.4136645050020888,,,
openmp_block_row_parallel,5000,8,3,0.4128546819847542,,,
openmp_block_row_parallel,5000,8,4,0.4169601920002605,,,
openmp_block_row_parallel,5000,8,5,0.4169064830057322,,,
openmp_block_row_parallel,5000,8,6,0.4178864250134211,,,
openmp_block_row_parallel,5000,8,7,0.4119161770213395,,,
openmp_block_row_parallel,5000,8,8,0.4124644709809217,,,
openmp_block_row_parallel,5000,8,9,0.4125943630060646,,,
openmp_block_row_parallel,5000,9,0,0.4235929619753733,,,
openmp_block_row_parallel,5000,9,1,0.4342713209916837,,,
openmp_block_row_parallel,5000,9,2,0.4275512850144878,,,
openmp_block_row_parallel,5000,9,3,0.433165224007098,,,
openmp_block_row_parallel,5000,9,4,0.4303800250054337,,,
openmp_block_row_parallel,5000,9,5,0.4306071799946948,,,
openmp_block_row_parallel,5000,9,6,0.4227966209873557,,,
openmp_block_row_parallel,5000,9,7,0.4208440500078722,,,
openmp_block_row_parallel,5000,9,8,0.4271876320126466,,,
openmp_block_row_parallel,5000,9,9,0.4286375279771164,,,
openmp_block_row_parallel,5000,10,0,0.4085039590136148,,,
openmp_block_row_parallel,5000,10,1,0.4142922059982083,,,
openmp_block_row_parallel,5000,10,2,0.4150691469840239,,,
openmp_block_row_parallel,5000,10,3,0.407205960014835,,,
openmp_block_row_parallel,5000,10,4,0.4088749620132148,,,
openmp_block_row_parallel,5000,10,5,0.4006630810035858,,,
openmp_block_row_parallel,5000,10,6,0.4103868230013176,,,
openmp_block_row_parallel,5000,10,7,0.4093342869891785,,,
openmp_block_row_parallel,5000,10,8,0.4072392009838949,,,
openmp_block_row_parallel,5000,10,9,0.4035426609916612,,,
openmp_block_row_parallel,5000,11,0,0.4015962879930157,,,
openmp_block_row_parallel,5000,11,1,0.3974992739968001,,,
openmp_block_row_parallel,5000,11,2,0.4059098410070873,,,
openmp_block_row_parallel,5000,11,3,0.4027942550019361,,,
openmp_block_row_parallel,5000,11,4,0.4280505119822919,,,
openmp_block_row_parallel,5000,11,5,0.3998372909845784,,,
openmp_block_row_parallel,5000,11,6,0.3974490529799368,,,
openmp_block_row_parallel,5000,11,7,0.3970602749905083,,,
openmp_block_row_parallel,5000,11,8,0.3909338699886575,,,
openmp_block_row_parallel,5000,11,9,0.4005141390080098,,,
openmp_block_row_parallel,5000,12,0,0.3401421059970743,,,
openmp_block_row_parallel,5000,12,1,0.342446408001706,,,
openmp_block_row_parallel,5000,12,2,0.3389825600024778,,,
openmp_block_row_parallel,5000,12,3,0.3395754770026542,,,
openmp_block_row_parallel,5000,12,4,0.3457604570139665,,,
openmp_block_row_parallel,5000,12,5,0.343025527021382,,,
openmp_block_row_parallel,5000,12,6,0.3421619409928098,,,
openmp_block_row_parallel,5000,12,7,0.3422545020002871,,,
openmp_block_row_parallel,5000,12,8,0.3396454050089232,,,
openmp_block_row_parallel,5000,12,9,0.3558749570220243,,,
openmp_block_row_parallel,5000,13,0,0.3555257880070712,,,
openmp_block_row_parallel,5000,13,1,0.3613870720146223,,,
openmp_block_row_parallel,5000,13,2,0.360232053004438,,,
openmp_block_row_parallel,5000,13,3,0.3636723179952241,,,
openmp_block_row_parallel,5000,13,4,0.3483947869972325,,,
openmp_block_row_parallel,5000,13,5,0.3557877009734511,,,
openmp_block_row_parallel,5000,13,6,0.3540040400112047,,,
openmp_block_row_parallel,5000,13,7,0.353859756985912,,,
openmp_block_row_parallel,5000,13,8,0.3538508960045874,,,
openmp_block_row_parallel,5000,13,9,0.3522196440026164,,,
openmp_block_row_parallel,5000,14,0,0.3621779009990859,,,
openmp_block_row_parallel,5000,14,1,0.3593764589750207,,,
openmp_block_row_parallel,5000,14,2,0.3629311609838623,,,
openmp_block_row_parallel,5000,14,3,0.3635860130016226,,,
openmp_block_row_parallel,5000,14,4,0.3630869220069143,,,
openmp_block_row_parallel,5000,14,5,0.3591276550141628,,,
openmp_block_row_parallel,5000,14,6,0.3604681940050795,,,
openmp_block_row_parallel,5000,14,7,0.3574846549890935,,,
openmp_block_row_parallel,5000,14,8,0.3674627669970504,,,
openmp_block_row_parallel,5000,14,9,0.3567602679831907,,,
openmp_block_row_parallel,5000,15,0,0.3579060010088142,,,
openmp_block_row_parallel,5000,15,1,0.3578718529897741,,,
openmp_block_row_parallel,5000,15,2,0.35699050698895,,,
openmp_block_row_parallel,5000,15,3,0.3557827550102956,,,
openmp_block_row_parallel,5000,15,4,0.3521675250085536,,,
openmp_block_row_parallel,5000,15,5,0.3555754070112016,,,
openmp_block_row_parallel,5000,15,6,0.3536263809946831,,,
openmp_block_row_parallel,5000,15,7,0.3578285679977852,,,
openmp_block_row_parallel,5000,15,8,0.35492455799249,,,
openmp_block_row_parallel,5000,15,9,0.3604928429995197,,,
openmp_block_row_parallel,5000,16,0,0.3264703899913001,,,
openmp_block_row_parallel,5000,16,1,0.3171468279906548,,,
openmp_block_row_parallel,5000,16,2,0.3169624309812206,,,
openmp_block_row_parallel,5000,16,3,0.3161491719947662,,,
openmp_block_row_parallel,5000,16,4,0.3190959789790213,,,
openmp_block_row_parallel,5000,16,5,0.3209101959946565,,,
openmp_block_row_parallel,5000,16,6,0.3196978390042204,,,
openmp_block_row_parallel,5000,16,7,0.3155411999905481,,,
openmp_block_row_parallel,5000,16,8,0.3128944050113204,,,
openmp_block_row_parallel,5000,16,9,0.3182934159995056,,,
openmp_block_row_parallel,5000,17,0,0.3357188669906463,,,
openmp_block_row_parallel,5000,17,1,0.3220269629964604,,,
openmp_block_row_parallel,5000,17,2,0.3272340920229908,,,
openmp_block_row_parallel,5000,17,3,0.3328112309973221,,,
openmp_block_row_parallel,5000,17,4,0.3361350990016944,,,
openmp_block_row_parallel,5000,17,5,0.3361690689926035,,,
openmp_block_row_parallel,5000,17,6,0.3352227069844957,,,
openmp_block_row_parallel,5000,17,7,0.3370412419899366,,,
openmp_block_row_parallel,5000,17,8,0.3298023999959696,,,
openmp_block_row_parallel,5000,17,9,0.3318181550130248,,,
openmp_block_row_parallel,5000,18,0,0.3521387869841419,,,
openmp_block_row_parallel,5000,18,1,0.3495291639992501,,,
openmp_block_row_parallel,5000,18,2,0.3519664449850097,,,
openmp_block_row_parallel,5000,18,3,0.3502211319864727,,,
openmp_block_row_parallel,5000,18,4,0.3524166860152035,,,
openmp_block_row_parallel,5000,18,5,0.3490516039892099,,,
openmp_block_row_parallel,5000,18,6,0.3521978220087476,,,
openmp_block_row_parallel,5000,18,7,0.3465682710229884,,,
openmp_block_row_parallel,5000,18,8,0.341107361979084,,,
openmp_block_row_parallel,5000,18,9,0.3506911080039571,,,
openmp_block_row_parallel,5000,19,0,0.3494625670136883,,,
openmp_block_row_parallel,5000,19,1,0.352154287014855,,,
openmp_block_row_parallel,5000,19,2,0.3521428770036436,,,
openmp_block_row_parallel,5000,19,3,0.3543057969945948,,,
openmp_block_row_parallel,5000,19,4,0.3502490569953806,,,
openmp_block_row_parallel,5000,19,5,0.3511872729868628,,,
openmp_block_row_parallel,5000,19,6,0.3504557989945169,,,
openmp_block_row_parallel,5000,19,7,0.3522325580124743,,,
openmp_block_row_parallel,5000,19,8,0.3515742599847726,,,
openmp_block_row_parallel,5000,19,9,0.3575316310161724,,,
openmp_block_row_parallel,5000,20,0,0.3315990650153253,,,
openmp_block_row_parallel,5000,20,1,0.3245375880214851,,,
openmp_block_row_parallel,5000,20,2,0.3240012860042043,,,
openmp_block_row_parallel,5000,20,3,0.3289837930060457,,,
openmp_block_row_parallel,5000,20,4,0.3247816410148516,,,
openmp_block_row_parallel,5000,20,5,0.3330603910144418,,,
openmp_block_row_parallel,5000,20,6,0.3199156470072921,,,
openmp_block_row_parallel,5000,20,7,0.3150593020254746,,,
openmp_block_row_parallel,5000,20,8,0.3141221260011661,,,
openmp_block_row_parallel,5000,20,9,0.3156442110193893,,,
openmp_block_row_parallel,5000,21,0,0.3295559789985418,,,
openmp_block_row_parallel,5000,21,1,0.3305659919860772,,,
openmp_block_row_parallel,5000,21,2,0.3261991580075118,,,
openmp_block_row_parallel,5000,21,3,0.3283958589890971,,,
openmp_block_row_parallel,5000,21,4,0.330324134993134,,,
openmp_block_row_parallel,5000,21,5,0.3327537730219773,,,
openmp_block_row_parallel,5000,21,6,0.3313170830078888,,,
openmp_block_row_parallel,5000,21,7,0.3293866260210052,,,
openmp_block_row_parallel,5000,21,8,0.3271289599942974,,,
openmp_block_row_parallel,5000,21,9,0.3339931050140876,,,
openmp_block_row_parallel,5000,22,0,0.327461481996579,,,
openmp_block_row_parallel,5000,22,1,0.3284217299951706,,,
openmp_block_row_parallel,5000,22,2,0.3272852279769722,,,
openmp_block_row_parallel,5000,22,3,0.3291694530053064,,,
openmp_block_row_parallel,5000,22,4,0.3261734289990272,,,
openmp_block_row_parallel,5000,22,5,0.3305726459948346,,,
openmp_block_row_parallel,5000,22,6,0.3278364469879306,,,
openmp_block_row_parallel,5000,22,7,0.3251875400019343,,,
openmp_block_row_parallel,5000,22,8,0.3281827099854126,,,
openmp_block_row_parallel,5000,22,9,0.3276481849898118,,,
openmp_block_row_parallel,5000,23,0,0.341702684003394,,,
openmp_block_row_parallel,5000,23,1,0.3428269150026608,,,
openmp_block_row_parallel,5000,23,2,0.3405593770148698,,,
openmp_block_row_parallel,5000,23,3,0.3441194009792525,,,
openmp_block_row_parallel,5000,23,4,0.3412041589908767,,,
openmp_block_row_parallel,5000,23,5,0.3413087030057795,,,
openmp_block_row_parallel,5000,23,6,0.3462761519767809,,,
openmp_block_row_parallel,5000,23,7,0.3616234739893116,,,
openmp_block_row_parallel,5000,23,8,0.3521913769945967,,,
openmp_block_row_parallel,5000,23,9,0.3513749820122029,,,
openmp_block_row_parallel,5000,24,0,0.3314589880174025,,,
openmp_block_row_parallel,5000,24,1,0.3307058369973674,,,
openmp_block_row_parallel,5000,24,2,0.327555519004818,,,
openmp_block_row_parallel,5000,24,3,0.323171407013433,,,
openmp_block_row_parallel,5000,24,4,0.324444322992349,,,
openmp_block_row_parallel,5000,24,5,0.3234656660060863,,,
openmp_block_row_parallel,5000,24,6,0.319137379003223,,,
openmp_block_row_parallel,5000,24,7,0.3228550310013815,,,
openmp_block_row_parallel,5000,24,8,0.3213108269846998,,,
openmp_block_row_parallel,5000,24,9,0.3212318029836751,,,
openmp_block_row_parallel,5000,25,0,0.3397198180027771,,,
openmp_block_row_parallel,5000,25,1,0.3372349079872947,,,
openmp_block_row_parallel,5000,25,2,0.3376225240062922,,,
openmp_block_row_parallel,5000,25,3,0.3371798020089045,,,
openmp_block_row_parallel,5000,25,4,0.336890445993049,,,
openmp_block_row_parallel,5000,25,5,0.3390653420065063,,,
openmp_block_row_parallel,5000,25,6,0.3374223000137135,,,
openmp_block_row_parallel,5000,25,7,0.338874212000519,,,
openmp_block_row_parallel,5000,25,8,0.3369067150051705,,,
openmp_block_row_parallel,5000,25,9,0.3389573479944374,,,
openmp_block_row_parallel,5000,26,0,0.3469536209886427,,,
openmp_block_row_parallel,5000,26,1,0.3438638249936047,,,
openmp_block_row_parallel,5000,26,2,0.3476174130046274,,,
openmp_block_row_parallel,5000,26,3,0.3440363720001187,,,
openmp_block_row_parallel,5000,26,4,0.344891416025348,,,
openmp_block_row_parallel,5000,26,5,0.3429582100070547,,,
openmp_block_row_parallel,5000,26,6,0.3443885499727912,,,
openmp_block_row_parallel,5000,26,7,0.3452511119830887,,,
openmp_block_row_parallel,5000,26,8,0.3514946779760066,,,
openmp_block_row_parallel,5000,26,9,0.3514437920239288,,,
openmp_block_row_parallel,5000,27,0,0.3723296980024315,,,
openmp_block_row_parallel,5000,27,1,0.3718647939967922,,,
openmp_block_row_parallel,5000,27,2,0.3728945470065809,,,
openmp_block_row_parallel,5000,27,3,0.3691654620051849,,,
openmp_block_row_parallel,5000,27,4,0.3664581890043336,,,
openmp_block_row_parallel,5000,27,5,0.3681010979926213,,,
openmp_block_row_parallel,5000,27,6,0.3688546119956299,,,
openmp_block_row_parallel,5000,27,7,0.3666726869996637,,,
openmp_block_row_parallel,5000,27,8,0.3673733890173025,,,
openmp_block_row_parallel,5000,27,9,0.3703095430100802,,,
openmp_block_row_parallel,5000,28,0,0.3327994790161028,,,
openmp_block_row_parallel,5000,28,1,0.3452740919892676,,,
openmp_block_row_parallel,5000,28,2,0.3339357090007979,,,
openmp_block_row_parallel,5000,28,3,0.3338107769959606,,,
openmp_block_row_parallel,5000,28,4,0.3320058689860161,,,
openmp_block_row_parallel,5000,28,5,0.3340388629876542,,,
openmp_block_row_parallel,5000,28,6,0.3322300690051633,,,
openmp_block_row_parallel,5000,28,7,0.3324059349833987,,,
openmp_block_row_parallel,5000,28,8,0.3311281730129849,,,
openmp_block_row_parallel,5000,28,9,0.3335236760030966,,,
openmp_block_row_parallel,5000,29,0,0.3678635999967809,,,
openmp_block_row_parallel,5000,29,1,0.3686501420161221,,,
openmp_block_row_parallel,5000,29,2,0.3612951970135327,,,
openmp_block_row_parallel,5000,29,3,0.3677393679972738,,,
openmp_block_row_parallel,5000,29,4,0.3641557449882384,,,
openmp_block_row_parallel,5000,29,5,0.3637540460040327,,,
