tag,n,repeat,elapsed_seconds,logdet,time_over_n3
baseline,100,0,0.00017591600771993399,389.85860287997087,1.7591600771993398e-10
baseline,100,1,0.00017941591795533895,389.85860287997087,1.7941591795533896e-10
baseline,100,2,0.00018316693603992462,389.85860287997087,1.8316693603992461e-10
baseline,1000,0,0.25179633288644254,6213.7553994947002,2.5179633288644255e-10
baseline,1000,1,0.24191279103979468,6213.7553994947002,2.4191279103979469e-10
baseline,1000,2,0.23637766600586474,6213.7553994947002,2.3637766600586476e-10
baseline,1500,0,1.086620333022438,9928.1310975645738,3.2196158015479646e-10
baseline,1500,1,1.09269125002902,9928.1310975645738,3.2376037037896889e-10
baseline,1500,2,1.0899352499982342,9928.1310975645738,3.229437777772546e-10
baseline,2000,0,4.4371694170404226,13813.50156743731,5.546461771300528e-10
baseline,2000,1,4.2671820420073345,13813.50156743731,5.3339775525091683e-10
baseline,2000,2,4.1225591659313068,13813.50156743731,5.1531989574141334e-10
