method,n,threads,elapsed_median,elapsed_mean,elapsed_error
openmp_row_parallel_unblocked,5000,1,10.4932747,10.47296875,0.046932892
openmp_row_parallel_unblocked,5000,2,7.099124083,7.091492954,0.010190375
openmp_row_parallel_unblocked,5000,3,4.864064414,4.867216675,0.005396251
openmp_row_parallel_unblocked,5000,4,3.815578031,3.810648327,0.006500818
openmp_row_parallel_unblocked,5000,5,3.289005111,3.295357846,0.008967298
openmp_row_parallel_unblocked,5000,6,2.753099438,2.750635986,0.006097624
openmp_row_parallel_unblocked,5000,7,2.526908777,2.531988097,0.006710582
openmp_row_parallel_unblocked,5000,8,2.28582917,2.282361637,0.005309111
openmp_row_parallel_unblocked,5000,9,2.163584568,2.168352795,0.005924292
openmp_row_parallel_unblocked,5000,10,2.028267142,2.024407126,0.005028346
openmp_row_parallel_unblocked,5000,11,2.0367788,2.043586941,0.008595365
openmp_row_parallel_unblocked,5000,12,1.832214966,1.828154803,0.005170975
openmp_row_parallel_unblocked,5000,13,1.854036082,1.859458578,0.007040886
openmp_row_parallel_unblocked,5000,14,1.805507586,1.79981913,0.00837975
openmp_row_parallel_unblocked,5000,15,1.750778286,1.757574387,0.008861844
openmp_row_parallel_unblocked,5000,16,1.588899274,1.58262134,0.007807063
openmp_row_parallel_unblocked,5000,17,1.625657343,1.63291687,0.009448766
openmp_row_parallel_unblocked,5000,18,1.615179076,1.607779438,0.009529051
openmp_row_parallel_unblocked,5000,19,1.445734449,1.452970364,0.009478423
openmp_row_parallel_unblocked,5000,20,1.522052615,1.514513898,0.009891279
openmp_row_parallel_unblocked,5000,21,1.527528647,1.533625693,0.008736991
openmp_row_parallel_unblocked,5000,22,1.362860469,1.355682327,0.0098859
openmp_row_parallel_unblocked,5000,23,1.463437792,1.471383537,0.010025036
openmp_row_parallel_unblocked,5000,24,1.475030056,1.467587219,0.009708129
openmp_row_parallel_unblocked,5000,25,1.296794642,1.305226987,0.010606266
openmp_row_parallel_unblocked,5000,26,1.462981242,1.455344334,0.010212046
openmp_row_parallel_unblocked,5000,27,1.436804887,1.443708077,0.009679727
openmp_row_parallel_unblocked,5000,28,1.278412883,1.268635308,0.012389612
openmp_row_parallel_unblocked,5000,29,1.410089564,1.419469692,0.011859076
openmp_row_parallel_unblocked,5000,30,1.413623644,1.404261641,0.012024786
openmp_row_parallel_unblocked,5000,31,1.21791118,1.228431689,0.013741293
openmp_row_parallel_unblocked,5000,32,1.394049795,1.384052916,0.013567634
openmp_row_parallel_unblocked,5000,33,1.18350625,1.195376346,0.014676815
openmp_row_parallel_unblocked,5000,34,1.316305446,1.303462765,0.01609497
openmp_row_parallel_unblocked,5000,35,1.198229641,1.210295251,0.015264173
openmp_row_parallel_unblocked,5000,36,1.190460883,1.178690272,0.015045799
openmp_row_parallel_unblocked,5000,37,1.165639646,1.178688656,0.016763887
openmp_row_parallel_unblocked,5000,38,1.194348099,1.182557776,0.014736136
openmp_row_parallel_unblocked,5000,39,1.350235541,1.358611101,0.010455737
openmp_row_parallel_unblocked,5000,40,1.154606358,1.142867374,0.015077858
openmp_row_parallel_unblocked,5000,41,1.15685111,1.167511194,0.013523041
