optimisation,n,block_size,repeat,elapsed_seconds,logdet_library,logdet_factor,relative_difference_percent
openmp_tile_list_parallel,5000,8,0,5.81330235100176651031,,,
openmp_tile_list_parallel,5000,8,1,5.76107804600178496912,,,
openmp_tile_list_parallel,5000,8,2,5.75108265300150378607,,,
openmp_tile_list_parallel,5000,8,3,5.7491800419993523974,,,
openmp_tile_list_parallel,5000,8,4,5.75118662400200264528,,,
openmp_tile_list_parallel,5000,8,5,5.75345695100259035826,,,
openmp_tile_list_parallel,5000,8,6,5.7623722859971167054,,,
openmp_tile_list_parallel,5000,8,7,5.74800691500058746897,,,
openmp_tile_list_parallel,5000,8,8,5.75081028799831983633,,,
openmp_tile_list_parallel,5000,8,9,5.75081585600128164515,,,
openmp_tile_list_parallel,5000,9,0,6.46316201500303577632,,,
openmp_tile_list_parallel,5000,9,1,6.48370180400161189027,,,
openmp_tile_list_parallel,5000,9,2,6.46625159199902554974,,,
openmp_tile_list_parallel,5000,9,3,6.46612040999752935022,,,
openmp_tile_list_parallel,5000,9,4,6.46935600700089707971,,,
openmp_tile_list_parallel,5000,9,5,6.46990725900104735047,,,
openmp_tile_list_parallel,5000,9,6,6.47250336700017214753,,,
openmp_tile_list_parallel,5000,9,7,6.46158958700107177719,,,
openmp_tile_list_parallel,5000,9,8,6.4632602819983731024,,,
openmp_tile_list_parallel,5000,9,9,6.46728763899955083616,,,
openmp_tile_list_parallel,5000,10,0,4.25151590999666950665,,,
openmp_tile_list_parallel,5000,10,1,4.24566655200032982975,,,
openmp_tile_list_parallel,5000,10,2,4.23649010300141526386,,,
openmp_tile_list_parallel,5000,10,3,4.23959134600227116607,,,
openmp_tile_list_parallel,5000,10,4,4.24271521099944948219,,,
openmp_tile_list_parallel,5000,10,5,4.24813421700309845619,,,
openmp_tile_list_parallel,5000,10,6,4.23186470700238714926,,,
openmp_tile_list_parallel,5000,10,7,4.24985091100097633898,,,
openmp_tile_list_parallel,5000,10,8,4.2546315250001498498,,,
openmp_tile_list_parallel,5000,10,9,4.24116619399865157902,,,
openmp_tile_list_parallel,5000,11,0,5.13538854599755723029,,,
openmp_tile_list_parallel,5000,11,1,5.13429747699774452485,,,
openmp_tile_list_parallel,5000,11,2,5.13941685900135780685,,,
openmp_tile_list_parallel,5000,11,3,5.14650279399938881397,,,
openmp_tile_list_parallel,5000,11,4,5.13762028000201098621,,,
openmp_tile_list_parallel,5000,11,5,5.13852066899926285259,,,
openmp_tile_list_parallel,5000,11,6,5.1378198130005330313,,,
openmp_tile_list_parallel,5000,11,7,5.13714881200212403201,,,
openmp_tile_list_parallel,5000,11,8,5.13680906199806486256,,,
openmp_tile_list_parallel,5000,11,9,5.13629702500111307018,,,
openmp_tile_list_parallel,5000,12,0,5.327839560999564128,,,
openmp_tile_list_parallel,5000,12,1,5.31903885999781778082,,,
openmp_tile_list_parallel,5000,12,2,5.31071071000042138621,,,
openmp_tile_list_parallel,5000,12,3,5.30943745500189834274,,,
openmp_tile_list_parallel,5000,12,4,5.30708901700199930929,,,
openmp_tile_list_parallel,5000,12,5,5.32897428399883210659,,,
openmp_tile_list_parallel,5000,12,6,5.31146408999848063104,,,
openmp_tile_list_parallel,5000,12,7,5.31593929200244019739,,,
openmp_tile_list_parallel,5000,12,8,5.31283322599847451784,,,
openmp_tile_list_parallel,5000,12,9,5.31501493900213972665,,,
openmp_tile_list_parallel,5000,13,0,5.06245304800177109428,,,
openmp_tile_list_parallel,5000,13,1,5.06212759399932110682,,,
openmp_tile_list_parallel,5000,13,2,5.0479279020000831224,,,
openmp_tile_list_parallel,5000,13,3,5.0529379989966400899,,,
openmp_tile_list_parallel,5000,13,4,5.0505346560021280311,,,
openmp_tile_list_parallel,5000,13,5,5.05013721000068471767,,,
openmp_tile_list_parallel,5000,13,6,5.05517848499948740937,,,
