optimisation,n,repeat,elapsed_seconds,speedup_factor_vs_baseline,logdet_library,logdet_factor,relative_difference_percent
baseline,2000,0,4.3894754159264266,1,13813.50156743731,13813.50156743731,0
baseline,2000,1,4.4542351249838248,1,13813.50156743731,13813.50156743731,0
baseline,2000,2,4.1253296249778941,1,13813.50156743731,13813.50156743731,0
lower_triangle,2000,0,1.0009367499733344,4.3853674231097672,13813.50156743731,13813.50156743731,0
lower_triangle,2000,1,1.0018749160226434,4.4458994368945302,13813.50156743731,13813.50156743731,0
lower_triangle,2000,2,0.99474241700954735,4.1471335236509779,13813.50156743731,13813.50156743731,0
upper_triangle,2000,0,0.36085979198105633,12.163936003590159,13813.50156743731,13813.50156743731,0
upper_triangle,2000,1,0.37684237502980977,11.819889216629305,13813.50156743731,13813.50156743731,0
upper_triangle,2000,2,0.37586108304094523,10.975676416407529,13813.50156743731,13813.50156743731,0
contiguous_access,2000,0,0.36550291697494686,12.009412817428487,13813.50156743731,13813.50156743731,0
contiguous_access,2000,1,0.36503829201683402,12.202103785808898,13813.50156743731,13813.50156743731,0
contiguous_access,2000,2,0.36627766594756395,11.262847856982013,13813.50156743731,13813.50156743731,0
cache_blocked_1,2000,0,0.2024986669421196,21.676564503908931,13813.50156743731,13813.50156743731,0
cache_blocked_1,2000,1,0.20243887498509139,22.002864446425406,13813.50156743731,13813.50156743731,0
cache_blocked_1,2000,2,0.20231349999085069,20.390777803579375,13813.50156743731,13813.50156743731,0
cache_blocked_2,2000,0,0.20600400003604591,21.307719341169932,13813.50156743731,13813.50156743731,0
cache_blocked_2,2000,1,0.20581645902711898,21.641782907152834,13813.50156743731,13813.50156743731,0
cache_blocked_2,2000,2,0.20552541699726135,20.072114122181127,13813.50156743731,13813.50156743731,0
